id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,23.962912953966566,0.7409010422035776,0.7409010422035776,3480,0.08148832823836567,0.73956708683328,0.1241352694263341,4008,24.937838215816065,0.6506246449348622
1,106.24855233040715,-0.03700050742348693,-0.03700050742348693,2515,0.05844014530059178,-0.025680094034440826,0.1105797891275664,4008,157.70013779226443,-0.14203987633688242
2,37.65634646691674,0.002919104384671578,0.002919104384671578,3473,0.12114552491542069,0.20311945491207173,0.21031758265690964,4008,41.14751592076746,0.17315666409950492
3,74.33223636611581,-0.005600001990467396,-0.005600001990467396,3478,0.018677555931903136,-0.007521064593225546,0.036675221853018976,4008,138.82862208480736,-0.007894749384937061
4,69.36390441753262,0.08135503652098908,0.08135503652098908,3479,0.06483468035168573,0.06409320938089247,0.12126851813165805,4008,87.1842497051591,-0.02450549937698332
5,90.2248386220529,0.03835804349861116,0.03835804349861116,3480,0.02879583016196593,0.05044204587150847,0.05589656832749591,4008,72.47975377126369,-0.5893306712830209
6,30.805823984694104,0.5634020296577924,0.5634020296577924,3480,0.09730755992791038,0.5887413483131971,0.15737803645202847,4008,36.5372402529331,0.5856948434561806
7,62.57301371217776,0.24064106597407908,0.24064106597407908,3480,0.060572538033707095,0.27167992948404474,0.11184334773561953,4008,57.9046575371284,0.5818796688536977
8,53.925114285390066,0.31625803741470104,0.31625803741470104,3480,0.03128956380305461,0.3277667341255237,0.059795886574871664,4008,60.87983322772714,0.13691213063842866
9,72.35691474556438,0.03596116860958942,0.03596116860958942,2688,0.07071776057171385,0.16295612225056355,0.13041720653492034,4008,77.15138285699314,0.015651701996592826
10,60.089925293292445,0.2665252394311325,0.2665252394311325,3480,0.030460519171166545,0.2655015075151118,0.058495174435799525,4008,58.217323530031294,0.22769537222389136
11,39.17832455668419,-0.010837947185073249,-0.010837947185073249,3385,0.1348121301149657,0.038973655752918446,0.23645457171956077,4008,38.58131003961663,-0.024254007470568162
12,41.31297140409101,0.14679118009680292,0.14679118009680292,3480,0.13408305501288317,0.16662876191209441,0.23099998079403655,4008,39.739473118991384,0.051996164815033
13,58.910287881560095,0.001631034848984747,0.001631034848984747,3480,0.05215138591872815,0.015527901318956538,0.09905541425073484,4008,74.93631156424122,0.05941359148352243
14,48.52629214829932,0.28858285262708105,0.28858285262708105,3480,0.041901237072528,0.29910668754882275,0.07907515440547526,4008,59.355726946178855,0.3602846167655993
15,49.381388693544906,0.002365896048177718,0.002365896048177718,3480,0.0475395390079121,0.0062177303316302,0.09073842606701368,4008,62.576442639788574,0.003689656645639583
16,102.53972765739408,-0.12254159692001476,-0.12254159692001476,3480,0.07717402445101802,-0.10756614419121502,0.14429381050005466,4008,102.83759692962313,0.011433609908643172
17,24.032560928422313,0.586791265846033,0.586791265846033,3480,0.01786645748922703,0.5996811305429284,0.034206269815911815,4008,22.04546864341321,0.6287286166146722
19,90.01966408560773,-0.06806314677098224,-0.06806314677098224,3480,0.16988989909783947,-0.09548181924293386,0.2941606692122679,4008,73.56595860980771,0.006145524335881336
20,27.773009532380467,0.1045154756086486,0.1045154756086486,3480,0.04007285322793822,0.14031809268156747,0.0765762147760486,4008,34.645098235672215,0.15767672245039155
21,43.55802147861955,0.1114357220090727,0.1114357220090727,3476,0.1193308544117944,0.14434523355395912,0.2094513235419679,4008,50.79553635278181,0.1153894553512097
22,59.78259321034024,0.11306588477884272,0.11306588477884272,3479,0.14826473488839748,0.18335303918504742,0.25096585663082055,4008,76.98968857967843,-0.08173341570958725
23,51.10687461792682,-0.02770389004483298,-0.02770389004483298,3366,0.005372511246621645,-0.014306858363679398,0.010688408859673147,4008,62.31304268191564,-0.044936496944422366
24,32.503404728465476,0.1761232077821625,0.1761232077821625,3480,0.01003918315732447,0.17179499649234176,0.019837898918466237,4008,34.92018698514555,-0.011769308048575455
25,29.33482339368938,0.453136713557613,0.453136713557613,3480,0.03267739528742828,0.4996249224517815,0.06134838513754392,4008,37.075557273220845,0.18502635547869795
26,39.31443265546388,-0.0014804119800400084,-0.0014804119800400084,3480,0.016075617977284972,-0.0015192499274783167,0.03164332165291135,4008,47.47945160718705,-0.0010773286815437544
27,77.61895649993383,-0.005879617147693805,-0.005879617147693805,3480,0.01935227906676355,-0.0057386475552363425,0.037973870356761724,4008,90.55894586107016,-0.011627567083392298
28,123.80093110529897,-0.0789304171408145,-0.0789304171408145,3480,0.06560498071283812,-0.08044646691744828,0.12369893126515184,4008,86.26103370767186,-0.02565902780381024
29,25.592979347606086,0.20810712239496254,0.20810712239496254,3480,0.1433424685981718,0.19193573255296825,0.24349192094920694,4008,42.14509380411754,0.028236302264723512
30,28.62859071754248,0.0029422584094507265,0.0029422584094507265,3480,0.08880630146367657,0.1348796160057183,0.16107766518028457,4008,27.708303569054355,0.2430986379332224
