id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,25.443447743765002,0.7432137304692956,0.7432137304692956,3480,0.08203720791129616,0.736046883240936,0.12517099568624432,4008,29.062158663235817,0.5702670953792381
1,98.44790742369184,-0.03467177199091753,-0.03467177199091753,2515,0.0583692149747202,-0.02319181572695772,0.11043834117025284,4008,146.6573799921069,-0.13386117105348427
2,36.873426283994405,0.0045576893096516136,0.0045576893096516136,3473,0.11809102623796987,0.2427971053064817,0.2043173493300614,4008,40.226497339394776,0.1900619535299498
3,73.23988584477593,-0.005016499980114553,-0.005016499980114553,3478,0.018667456258200914,-0.006431748318759034,0.036655029200531625,4008,135.04909377399915,-0.004218703573724891
4,69.46375566876011,0.09326034418882911,0.09326034418882911,3479,0.0644424731688598,0.07538220161797038,0.12048741492821835,4008,90.14677235850691,-0.017468684719460503
5,94.90967482017754,0.04109390536003843,0.04109390536003843,3480,0.028754820071462937,0.05314477941557871,0.055814619298764946,4008,81.13136505790091,-0.4148589835487202
6,30.81716576745527,0.6029606345471483,0.6029606345471483,3480,0.09289296231613207,0.625210420259688,0.1488843870639668,4008,38.241026909375286,0.610651476433643
7,61.44520435953871,0.31082567173275,0.31082567173275,3480,0.05766643778168595,0.3398889772855027,0.10606700074994359,4008,59.034702925933104,0.5677013749379397
8,54.19175733811692,0.34827275963631765,0.34827275963631765,3480,0.030600599512702404,0.3570445937128095,0.058420742218625185,4008,62.70381927916952,0.1262755231339241
9,72.32149012220349,0.06209866991256463,0.06209866991256463,2688,0.07181381824904275,0.13680828761116137,0.13259620551181492,4008,78.57021848495337,-0.07518658892916363
10,62.5912555936227,0.2988100066972311,0.2988100066972311,3480,0.02984980836425944,0.2946585586554096,0.057275727543940384,4008,64.69658207816855,0.22534915931866317
11,36.072748818686065,-0.011418109034823543,-0.011418109034823543,3385,0.13525359307771806,0.03266929449126721,0.23732417336650768,4008,38.41214169360018,0.05341208448216861
12,40.35529875571367,0.21263301920988187,0.21263301920988187,3480,0.12856273987930514,0.23383739104140056,0.22017921886024316,4008,38.55711713784796,0.111174083968264
13,57.65473441106433,0.027480216699146687,0.027480216699146687,3480,0.05139980017176734,0.043699099374898465,0.09755610005498984,4008,73.50468033150268,0.06869289383300559
14,47.61277481725636,0.37826777718536664,0.37826777718536664,3480,0.039247312318789127,0.38508077842122146,0.0737852687031771,4008,58.04573370422854,0.40819828748323717
15,45.35607422269382,0.017230175088866817,0.017230175088866817,3480,0.04717572572975076,0.0213700748062704,0.09001232718947022,4008,56.939196767074186,0.014069580926979519
16,99.82126929245742,-0.12389429318802292,-0.12389429318802292,3480,0.07722592188920878,-0.10905626143566072,0.1443971652281203,4008,98.92333003889964,0.008078681558455258
17,24.87508528117523,0.5991549733309489,0.5991549733309489,3480,0.017639097243122945,0.609804847485734,0.0337523895704624,4008,24.25841881635954,0.6153626456743837
19,91.2756062268852,-0.06505986046214951,-0.06505986046214951,3480,0.16949064992162896,-0.09033900267739736,0.2933765939187827,4008,77.22561687172204,0.012957350843107451
20,28.80274457345269,0.08027075821431418,0.08027075821431418,3480,0.04080391166743648,0.10866522069731643,0.0780354810997681,4008,39.735631122408726,0.02561386212184924
21,45.00674961196481,0.07646131485572782,0.07646131485572782,3476,0.12169408459808531,0.11011884466751443,0.2141081915107097,4008,53.05139888563225,0.07246806380175952
22,59.94394870448841,0.11392007216422029,0.11392007216422029,3479,0.14811837865067093,0.18496451322019558,0.25068006094878553,4008,79.36423443393306,-0.07828311269233046
23,50.930116855300675,-0.008466931926114363,-0.008466931926114363,3366,0.005325820665259509,0.0032464929357765016,0.010595030311862893,4008,61.04322609446323,-0.019842991019065392
