id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,24.785266074646916,0.7537843916845233,0.7537843916845233,3480,29.290152656299313,0.5282950590501542
1,92.3432444220625,-0.013439965474427495,-0.013439965474427495,2515,118.2641505319519,-0.04919887306657733
2,37.008469384145265,0.004897785723874115,0.004897785723874115,3473,41.16381679653642,0.14157447010164115
3,72.636851179356,-0.0033587793044835834,-0.0033587793044835834,3478,134.96491722242263,0.009474083739772765
4,69.05628173307787,0.1187674671612502,0.1187674671612502,3479,88.2545057192203,-0.0023414488729551763
5,92.37604378830228,0.07745897790767498,0.07745897790767498,3480,81.2405379963484,-0.2112386118144407
6,29.869047344737233,0.6293290444323598,0.6293290444323598,3480,37.25750989692904,0.5723689973088164
7,58.24069321611544,0.37165633978285595,0.37165633978285595,3480,56.35724262408138,0.5982029923747944
8,53.95748242525807,0.3462635547120948,0.3462635547120948,3480,62.36074985391959,0.10657637073050286
9,72.71015378339585,0.06372296326608062,0.06372296326608062,2688,75.44452823779838,0.03155144556784206
10,59.49064650447201,0.30745530591572345,0.30745530591572345,3480,59.24509939406257,0.24828830737574603
11,33.53443693889038,-0.010989169874688898,-0.010989169874688898,3385,36.62828027787447,-0.021595753191087086
12,41.736861674339174,0.012844759050881227,0.012844759050881227,3480,38.4711616268997,0.12083560488900857
13,57.79729219655347,0.03754708562615683,0.03754708562615683,3480,73.16721190612253,0.07371294089484448
14,45.93001709114392,0.41012741525775587,0.41012741525775587,3480,57.50953033573567,0.39703466299426016
15,45.1166305311713,0.022031044697089497,0.022031044697089497,3480,52.95740956675371,0.011267285044181063
16,102.61354865084363,-0.09010990342178937,-0.09010990342178937,3480,101.4397030026445,0.022930309063614485
17,23.70460276322293,0.6209526323604286,0.6209526323604286,3480,22.95900847567204,0.6015958918776569
19,93.86421531533522,-0.04995864018129503,-0.04995864018129503,3480,75.46123026936222,0.029449385582313137
20,28.017947750031812,0.11552807567513057,0.11552807567513057,3480,36.34547443585289,0.13825475486543504
21,44.53213763435717,0.12103042410968712,0.12103042410968712,3476,53.52862034108481,0.0612710169992875
22,57.88542350149051,0.19067052863551293,0.19067052863551293,3479,79.35817473478278,-0.027143278315513886
23,51.70648332109785,-0.01259195194431939,-0.01259195194431939,3366,62.45969589468046,-0.02720729713804282
24,32.35753936825601,0.1780456526432126,0.1780456526432126,3480,41.72964186472736,0.025462964240096864
25,29.019356215679657,0.40796443264965254,0.40796443264965254,3480,38.77660270498225,-0.2491829125944076
26,38.767717917628424,-0.0014950313057540132,-0.0014950313057540132,3480,51.409151684412194,-0.0007592873700856817
27,79.01745974505072,0.00011193941312603872,0.00011193941312603872,3480,93.07252952216096,0.0019310065525769415
28,131.191762974968,-0.0678078491142391,-0.0678078491142391,3480,86.2630085542651,-0.021424274593027315
29,25.920548345105466,0.19604906974498182,0.19604906974498182,3480,41.638217050241764,0.05613863990350798
30,27.64956904554,0.03151125951058742,0.03151125951058742,3480,28.17679980152909,0.16277411081265292
31,44.85738138173693,0.011536674331867447,0.011536674331867447,3462,48.87444731896593,0.05532468150209868
32,55.585643329979206,0.40238967490033906,0.40238967490033906,3480,107.08756246011552,0.1800578846952423
33,122.41886978621808,-0.03954697904356563,-0.03954697904356563,3480,126.58419075445839,-0.13492222437796664
34,60.675550247346266,-3.2189285431732664,-1.0,3480,64.85013156624738,-4.293831593933408
35,39.05896021947605,0.09192337149688945,0.09192337149688945,3480,59.02365726880884,0.023558626574387453
