id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,23.82347369668036,0.7568761327789693,0.7568761327789693,3480,28.256261580439446,0.5103110618468338
1,102.91772769752289,-0.026676675875674016,-0.026676675875674016,2515,137.60935466868315,-0.1265382181838366
2,37.1466817844042,0.004871720357674469,0.004871720357674469,3473,39.28408044756214,0.1832175274572747
3,72.5792969328989,-0.00449074536931815,-0.00449074536931815,3478,133.56956679298503,-0.004188754861235822
4,68.9265738133048,0.10195039022288821,0.10195039022288821,3479,87.45010071881674,-0.01361570501623599
5,92.84911629930193,0.04865203962451581,0.04865203962451581,3480,83.66855554867557,-0.14380364903282605
6,31.911362422487056,0.5798825049357004,0.5798825049357004,3480,42.37886763434716,0.5376834315442958
7,60.74006413878049,0.31512901225815704,0.31512901225815704,3480,58.38091908347442,0.5592122394899881
8,54.292290651675515,0.3293503974481945,0.3293503974481945,3480,62.594092002283794,0.07891189090459794
9,73.2651447749062,0.015562677496966493,0.015562677496966493,2688,78.84761318966225,-0.04156751611617593
10,63.61238329368556,0.26253659707266397,0.26253659707266397,3480,63.698323822852984,0.18892641017914746
11,34.799475024279765,-0.01038263754134583,-0.01038263754134583,3385,36.60432835767142,0.01286278760558357
12,41.54348551503875,0.07863053735770054,0.07863053735770054,3480,38.3703179024263,0.14364564697262439
13,58.86273208595038,0.029742057599643212,0.029742057599643212,3480,73.19908437267972,0.08118503374149544
14,49.05372820854524,0.3435261798379107,0.3435261798379107,3480,62.38667307386571,0.4124497717721852
15,47.752901890850204,0.017864802578519412,0.017864802578519412,3480,65.50006901223206,0.010268883290272868
16,102.40218576265309,-0.11980389894366272,-0.11980389894366272,3480,101.1774615759868,0.04077186677934752
17,23.669969851426252,0.6139657172157424,0.6139657172157424,3480,23.100695608820534,0.5301317301856354
19,93.80589733986886,-0.05860789513799358,-0.05860789513799358,3480,79.4203403816194,0.01793748280614127
20,28.592979702281244,0.07395905264695979,0.07395905264695979,3480,38.24620001215579,0.033085289737103785
21,45.710645130266606,0.0769280274584424,0.0769280274584424,3476,53.835326485152144,0.03865599221666538
22,58.60604804546431,0.15911001034841354,0.15911001034841354,3479,80.97120300083233,-0.13192494582907965
23,51.72812977846436,-0.002511099753581547,-0.002511099753581547,3366,61.69710430204135,-0.00013856741669537875
24,34.161737277662226,0.17946765258418151,0.17946765258418151,3480,37.71484622362121,-0.008149703198191194
25,29.84270061326257,0.28102159006968186,0.28102159006968186,3480,41.38698631287812,-0.3906190972807444
26,40.23784908190574,-0.001516842891663206,-0.001516842891663206,3480,47.070734111549456,-0.0007857054167355049
27,78.85102856678142,-0.0009329626113685485,-0.0009329626113685485,3480,92.53897485837722,-0.0026046780405506453
28,127.32956255120105,-0.07357121735282401,-0.07357121735282401,3480,92.22327149482334,-0.024721125980758707
29,26.35724446261,0.22817741321878204,0.22817741321878204,3480,41.29160372648724,0.05745205958992039
30,28.03627478302286,0.021694077625205033,0.021694077625205033,3480,31.493903918913997,0.048674476069922035
31,43.79482419812962,0.04988887834099254,0.04988887834099254,3462,48.812630592734365,0.05223404801997911
32,58.24176799252917,0.34065863019575093,0.34065863019575093,3480,105.00212909866336,0.24064876206624375
33,124.77686780043231,-0.04542746445937751,-0.04542746445937751,3480,131.0892072117611,-0.15196162856672824
34,49.31986375107893,-1.861409012151741,-1.0,3480,57.22160672982983,-1.9964591130930591
35,39.35847061207029,0.08474533228917003,0.08474533228917003,3480,56.05133058780911,0.05403589302124634
36,65.41671305683391,0.0025621243606944732,0.0025621243606944732,3480,71.10307759203201,-0.025241736983215413
37,68.71040112809551,-0.3022014720496522,-0.3022014720496522,472,64.99772956543303,-0.17773788832847104
38,100.22152496938332,0.008574168463721277,0.008574168463721277,3480,107.73416873874903,0.08765934891965299
39,111.60513305754026,-0.3101785053154691,-0.3101785053154691,2438,114.31394822099432,-0.01697417123605449
40,54.92213431184596,-0.020129599616982574,-0.020129599616982574,3480,58.617594588600916,-0.019320020052072673
41,48.73254651893548,-0.003412746405129008,-0.003412746405129008,3480,55.177365487055056,-0.1764764206153222
42,44.46716422325605,-0.06258115573903256,-0.06258115573903256,290,47.29125981092787,0.0005826368665911019
43,35.84559660421891,-0.002771654905806775,-0.002771654905806775,3480,37.819566449523215,0.0020471282013199144
44,76.39274505014166,0.21539999847633862,0.21539999847633862,3437,61.392036323282206,-0.035977514926537335
45,87.2535254173705,-0.017462978843453048,-0.017462978843453048,3480,88.60429596553749,-0.017259536338511516
46,111.08196706360506,-0.0005161019347148521,-0.0005161019347148521,2919,117.08290827449319,-0.008513462558114249
47,44.98801522528081,-3.895006277971511,-1.0,3480,43.45282939509051,-13.418909586352079
48,54.15361858936089,-0.0030238896275762706,-0.0030238896275762706,3480,52.83557167049832,-0.0027519396889701397
49,56.209935487629835,-0.011877288499837935,-0.011877288499837935,3480,69.56808481537252,-0.00791381705728722
50,30.622925434658292,-0.009140700190636952,-0.009140700190636952,3480,33.27094459625394,-0.010888560088048838
51,73.58155553668641,-433.5472633993201,-1.0,3480,79.7195875427097,-0.7537418589860103
52,23.08660896103153,0.21573972379032336,0.21573972379032336,3480,23.886526125615333,0.18307901678536964
53,46.61920063560032,0.1591220637360662,0.1591220637360662,3480,42.46381294907505,-0.1270090864480926
54,73.50126535037886,-0.0022002287191691394,-0.0022002287191691394,3475,59.68310744545933,0.13911001590334005
55,80.84483968693358,-0.01825946386759214,-0.01825946386759214,3480,88.41915434126713,-0.032551801887242826
56,100.96557434848408,-11.945302868586802,-1.0,2429,97.37777466749266,-0.1308931747636357
57,50.28569855535999,0.018757519485938512,0.018757519485938512,3437,54.44763637540772,-0.02597463981895265
58,97.35850632139852,-0.03823551390510982,-0.03823551390510982,3480,129.12082175258726,0.0011966135526142452
59,68.61403519936535,0.23297513159501915,0.23297513159501915,3480,70.08413991258897,0.31730345388703607
60,49.98378375510317,-0.725747271031973,-0.725747271031973,3480,38.00581386060921,-1.6254120386405173
61,55.64288289260002,0.004877052825257966,0.004877052825257966,3480,52.83104822477854,0.16234842918212544
62,100.72095231330364,-0.016182046720499832,-0.016182046720499832,3480,101.25930758131238,-0.029670807339571503
63,49.15258794708236,-0.014231826477185905,-0.014231826477185905,3477,75.11058939891471,0.023986908219463587
64,63.62569801501212,-0.004068268642078321,-0.004068268642078321,3479,77.8088506931997,-0.006967375978149226
65,41.19827147487352,0.8191582231646144,0.8191582231646144,3480,93.4944805819251,-3.416342296770754
66,80.86154475935913,-11178.145389411562,-1.0,3480,126.61559291330778,-477.0374585247078
67,79.04510273832028,-29394.04935674013,-1.0,3480,126.52632573013545,-815.495316485751
68,55.50256294506768,-0.01767324502161549,-0.01767324502161549,3480,59.82939464164212,-0.03301459756563019
69,74.42817112775796,-0.0015210373467287042,-0.0015210373467287042,1835,75.68665911148348,0.009082701881785282
70,94.00864447926314,-0.058551659868893546,-0.058551659868893546,3480,81.64784808035999,-0.03185038688698549
71,66.57558896418931,-0.008093450823730475,-0.008093450823730475,3480,81.79343468338647,-0.004905854313422386
72,25.51391996074604,0.058568208513311126,0.058568208513311126,3480,25.264542242374254,0.5710749468389971
73,46.7866307640203,0.03595548566804441,0.03595548566804441,3384,56.94342399245597,0.032813693766613694
74,54.9784225204335,0.026248972283081873,0.026248972283081873,3437,47.815798848130925,-0.31926559116985276
