id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,25.447805665039088,0.7266642123663357,0.7266642123663357,3480,0.08563031995999575,0.7124190022804432,0.13196627048853102,4008,30.331355111142678,0.4480742860944197
1,100.1718232940248,-0.022813935949553388,-0.022813935949553388,2515,0.057982649266585265,-0.00968397209427363,0.10966747569463949,4008,140.8708818215787,-0.1271043303231072
2,36.89207099353259,0.0044072355741789915,0.0044072355741789915,3473,0.11873679421314498,0.2344930985479604,0.20558548705982443,4008,39.91000143439169,0.19104423774771706
3,73.20427171479669,-0.004360867817332803,-0.004360867817332803,3478,0.018658492537931573,-0.005465445615213449,0.03663710770786437,4008,133.07954914162647,-0.004055334548363598
4,69.20480622609638,0.10046435245540886,0.10046435245540886,3479,0.06419950602551028,0.08234122204178496,0.12000355082988194,4008,88.0734259496831,-0.012232640361976799
5,92.2733674487366,0.08016201697315128,0.08016201697315128,3480,0.02816303320453084,0.09171712987216762,0.0546320946879894,4008,81.33071783545151,-1.006807665785662
6,30.2131903035233,0.6186425921143625,0.6186425921143625,3480,0.0918070149803999,0.6339220114851125,0.14679898716502449,4008,42.092464949214055,0.5504222424167967
7,58.9645821451106,0.31501412718604116,0.31501412718604116,3480,0.05742351496192002,0.3454387661456866,0.10558430322621257,4008,55.51409348556309,0.5909494235591446
8,54.99036541563026,0.32390854555098225,0.32390854555098225,3480,0.031171898361891052,0.3328131385940165,0.05956102287325564,4008,62.578325298537564,0.0890793389416491
9,72.42754071669056,-0.012631658967710235,-0.012631658967710235,2688,0.0759222237388668,0.035218281602252044,0.14076697611614655,4008,76.6748772592451,0.01476284140895101
10,59.16022501317985,0.30307731133475013,0.30307731133475013,3480,0.029736924295678473,0.299983300199295,0.05705033293520141,4008,59.16816439602768,0.24188574949907615
11,40.997018781725615,-0.00844703214480469,-0.00844703214480469,3385,0.13413501000125602,0.048603294530193075,0.23512091776696956,4008,36.698672738395025,-0.3223555478759077
12,41.57884692842863,-0.040348815154414464,-0.040348815154414464,3480,0.14457854969578313,0.03105652520378721,0.2516132402269085,4008,36.937447627202694,0.20812369358346683
13,57.84489091912873,0.025011857179260577,0.025011857179260577,3480,0.0514512732802675,0.041782810718346775,0.09765877868955741,4008,73.57533989957653,0.07299469003283576
14,46.023360576569104,0.3857620431710155,0.3857620431710155,3480,0.03890776516985089,0.3956746697161786,0.07310863885289304,4008,59.04987343141105,0.45901431285329364
15,46.986027699052144,0.01670855720494291,0.01670855720494291,3480,0.04718865779463601,0.020833466619722074,0.09003813663133216,4008,63.73137654195409,0.013447882619239238
16,101.68637061843361,-0.14141577835545238,-0.14141577835545238,3480,0.07770777043495727,-0.12293927662371829,0.14535680195781706,4008,102.44362591660314,0.04003286181536769
17,23.108567163593122,0.6255622910485813,0.6255622910485813,3480,0.017179579728999504,0.629870047560338,0.03283511765085584,4008,23.247585055817652,0.5662536208097676
19,92.56905856539352,-0.0665024236202294,-0.0665024236202294,3480,0.16968350254615713,-0.09282166903699518,0.29375532494335044,4008,73.42303170609814,0.006474698295587777
20,28.45643703395678,0.09154251808019609,0.09154251808019609,3480,0.04050918019462866,0.12149514945046369,0.07744715554331583,4008,37.99238204262031,0.06241517897939386
21,44.827458073618885,0.1002494197320013,0.1002494197320013,3476,0.12067714235197854,0.12492936866695015,0.2121039603324638,4008,54.4128441344393,0.012694555913464467
22,58.49468792390887,0.15728627554525987,0.15728627554525987,3479,0.1444055589213653,0.22531268798934123,0.24343384182002456,4008,81.40903907270193,-0.05412749868914357
23,50.970396165383946,-0.012321277613518866,-0.012321277613518866,3366,0.00533953985704522,-0.001895349489117848,0.010622467922369282,4008,62.55566699102913,-0.027001370732768315
24,39.0826204297605,0.18068894946195602,0.18068894946195602,3480,0.010005609465461305,0.1773252082635045,0.01977076119796572,4008,56.59328008188108,6.087691996081723e-05
25,42.578222055522474,-1.0937532277315727,-1.0,3480,0.06329941265855211,-0.8775874240314407,0.12246997497181471,4008,45.44990459583134,-1.406351113348609
26,40.022979912527724,-0.001486899567763933,-0.001486899567763933,3480,0.01607559559365707,-0.0015164609064088896,0.03164327689682795,4008,54.862564781633836,-0.0006207416994330472
27,77.6395237468389,0.0036636786253604336,0.0036636786253604336,3480,0.01926162182942231,0.0036622010983557995,0.03779262080119744,4008,92.51204955423155,-0.005359557660614467
28,133.88230626428359,-0.0694305794833614,-0.0694305794833614,3480,0.06527256559526413,-0.0695251366646985,0.12303629008007623,4008,94.66030543752223,-0.021738206133743443
29,25.724658989432985,0.28176571529283856,0.28176571529283856,3480,0.13677276923927836,0.26430903230825675,0.23066286126567015,4008,42.19946554473275,0.0903651315447831
30,34.40264173837978,-0.1244235301291663,-0.1244235301291663,3480,0.10581892595419452,-0.22833174766073538,0.1948516742875977,4008,31.06600004371626,-0.3108338485219966
