id_institution,model,test_RMSE,test_SMAPE,test_R2,test_n_obs,normal_RMSE,normal_SMAPE,normal_R2,outage_RMSE,outage_SMAPE,outage_R2,outage_n_obs
0,Mean,33790097176.99782,46.462194554483034,-0.0007994428836584078,4030,34294427737.27505,45.5555398610139,-0.010560412115617757,30232882866.76517,52.47565049487869,-0.3865523782858351,528
0,SN-24,19638601048.637558,23.764389366502225,0.6619435171347423,4030,19829983118.01189,23.45024695100101,0.6621220508247503,18318705306.670338,25.847962735981845,0.49094265323013,528
0,SN-168,23926649913.95309,29.29282326077262,0.4981984900568929,4030,22000734913.585484,26.5504401989105,0.584099409444961,34046303097.896015,47.48188667486568,-0.7583975885105803,528
0,MA-24,30526772210.153675,43.11896572468276,0.18317326217357566,4030,31478466878.27074,42.96774409237974,0.14858302360174735,23248551749.175076,44.12195465711679,0.18008474791325557,528
0,MA-168,32435089250.510223,45.21516918900301,0.0778568001331903,4030,33308876591.390602,44.72658449639344,0.04668784267123072,25904023666.76088,48.45574417672785,-0.017915232999134778,528
1,Mean,23040135092.456,40.226688202893236,-0.005863928958574016,4030,23305355200.511856,39.604653170594986,-0.00018011481345769909,21197212613.699345,44.352382678477404,-0.4022161673017195,528
1,SN-24,18302836220.568993,28.783755859270528,0.36524522146763194,4030,18662184776.282803,28.66542966823653,0.35865497071514085,15712770019.721523,29.56856328540889,0.22951716778591424,528
1,SN-168,20837124723.423367,32.87138901344239,0.17729379193405836,4030,20330813414.545715,31.958774689901748,0.23883944835744497,23925588822.75658,38.924372651774526,-0.786416526946041,528
1,MA-24,19090217183.06007,32.70260717663337,0.3094566768635022,4030,19496669850.923904,32.33733803593445,0.30001676580487535,16137310101.000494,35.12528242422358,0.1873196712524664,528
1,MA-168,21287310016.98603,36.35182503869896,0.14136070056477246,4030,21794929012.505337,36.02500208113004,0.1252626300734183,17552759371.372807,38.519503064089776,0.03850228460049143,528
2,Mean,39089909756.57148,34.97677587719727,-3.4565139113151844e-05,4030,37172490612.601295,32.66843470950202,-0.0035259981219413206,49978821615.71622,50.28702354626694,-0.12014875396399627,528
2,SN-24,45611132683.97887,38.16415034340558,-0.36153054978718746,4030,43502108308.40336,37.75992747199867,-0.3743771240864888,57679415398.93509,40.84518916095672,-0.49191944920908415,528
2,SN-168,50681228485.416565,43.17884219879875,-0.6810473344824115,4030,47592469483.248184,41.37043365875639,-0.6449844140569474,67689467173.71464,55.17324884127666,-1.0546879152354718,528
2,MA-24,32873265780.299984,28.409745331893287,0.292752570634248,4030,31835577993.171997,28.168647617622423,0.2639441215494053,39064216283.0435,30.008844186773153,0.3156757861083237,528
2,MA-168,37616292459.07317,32.860356495172425,0.07394314209701336,4030,36669714251.552895,32.22409063935469,0.023436790898873627,43374781892.160126,37.08043798584235,0.15631897124514404,528
3,Mean,13314610291.611986,56.96872987340319,-0.05208008423031796,4030,13415145866.78966,55.15683760912231,-0.019666668022839895,12627556507.879564,68.9862425808116,-1.9354510304045034,528
3,SN-24,9689803783.400476,34.92221240579162,0.44278622257320444,4030,10066379400.208036,34.81513398734333,0.42586501156454815,6674424639.587113,35.63241812815136,0.17990556247139322,528
3,SN-168,9412824215.746187,36.71944376660793,0.474186445542919,4030,9168841702.530819,34.5692062287315,0.5236826797277225,10893608927.012672,50.98105713335654,-1.1846393865699154,528
3,MA-24,10752135208.278994,44.07700414670108,0.31390964428782464,4030,11257373685.611364,44.49262084691199,0.281971653777633,6469453797.716495,41.320394896438515,0.22950215241640604,528
3,MA-168,12105638224.83101,48.809523053301916,0.13030442093117123,4030,12669943003.417938,49.11891151827862,0.09047058997643442,7335978138.462851,46.757480620823905,0.009276977166413514,528
4,Mean,161087799.64916164,122.69720832132005,-0.13612150268254597,4030,164207232.55390307,118.12130231149868,-0.13528132780284197,138632484.00516385,153.0472515910062,-0.14695718297374394,528
4,SN-24,143480114.53774512,86.78841214137402,0.0986719015998806,4030,145859253.23621127,86.67780787493811,0.10424982263473048,126573381.10272293,87.52200331762126,0.04390299353444682,528
4,SN-168,129775750.7995132,85.47186036045402,0.26262810400825776,4030,132171941.97780752,83.15570337697986,0.26447494115521386,112599431.1526647,100.83394701978432,0.24335949136290413,528
