id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,21.988030302312346,0.7096302380906916,0.7096302380906916,3480,0.09324782770549524,0.709739044818676,0.1411503712360524,4008,26.48170015207211,0.564474364327672
1,23.00097705461665,0.6054539019439569,0.6054539019439569,3480,0.017552527246758317,0.6131838413169564,0.03358124108526633,4008,22.419963928173246,0.5688234702346933
2,29.792649324011432,0.16803597863922515,0.16803597863922515,3480,0.056181495579750725,0.20511406150910705,0.10494557552539424,4008,33.08934172490728,0.24962380225734593
3,26.870020410608237,0.6961860170479952,0.6961860170479952,3480,0.07808164556088147,0.6974960990229541,0.12412453700219446,4008,32.02788740353151,0.3785031934149008
4,76.63850995317254,0.34771358996733803,0.34771358996733803,3480,0.05850856139932318,0.34397960244373305,0.10743528090375087,4008,91.61395589606465,0.3001241128255747
5,73.83428048671833,0.14801236914908633,0.14801236914908633,3480,0.10107988626549413,0.23960893227621138,0.17843954526126574,4008,84.6824122531244,0.0355051809492386
6,79.25896986917516,0.20217956441716078,0.20217956441716078,3480,0.046706020672471836,0.17771231603516235,0.08839140113681274,4008,91.55737789598925,-0.0038526354577901323
7,88.3426518311532,0.3134782279444699,0.3134782279444699,3480,0.021214471909407156,0.31154670059174805,0.04116059308743081,4008,99.67691708183942,0.2828967327995777
8,115.05870374995153,0.15026165845772355,0.15026165845772355,3471,0.0538920105276886,0.14246185593819416,0.1014108529435001,4008,120.03562861849957,0.07000374931113984
9,38.37907543419627,0.18985249239843038,0.18985249239843038,3480,0.05285417804287303,0.2196389448105487,0.0990028518530629,4008,49.40550827649475,0.2509047451498079
10,49.05689239024319,0.5875356536719365,0.5875356536719365,3480,0.09796884812973108,0.5847798033862102,0.1585327855265641,4008,51.811063913233156,0.5264240344037081
11,128.72392385019944,-0.2070799812882067,-0.2070799812882067,3480,0.11157158943932717,-0.18571763929226792,0.203952054348639,4008,128.03201918308582,-0.11327247791807937
12,53.81762601611144,0.35167091783110305,0.35167091783110305,3478,0.07242637528619951,0.4563019095155285,0.12782508772659384,4008,68.58261541582051,0.46042362708928586
13,85.04139950917674,-0.0022209873131342484,-0.0022209873131342484,3479,0.028441214901085022,0.003439006002150191,0.055304086461976404,4008,81.22250997133472,0.15170513036916855
