id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,19.91040122176213,0.7462115385454478,0.7462115385454478,3480,0.08809833436493347,0.7409124355527987,0.13148680842488183,4008,25.64383603402173,0.5482471246262552
1,22.6900981855387,0.6167365557136564,0.6167365557136564,3480,0.017369747493188432,0.6211979625561441,0.03321637729123323,4008,22.63539848454589,0.5430035866662966
2,29.566375372809073,0.19650497243754084,0.19650497243754084,3480,0.05545391450409986,0.22556916064735577,0.10349683219319171,4008,33.49455055062265,0.24005061364606284
3,26.987392560771262,0.6993389090247001,0.6993389090247001,3480,0.07807958158018487,0.6975120913590711,0.12412058279611078,4008,32.41062116580136,0.3113909416159256
4,71.23094181608653,0.4702423852893528,0.4702423852893528,3480,0.0530103761071425,0.4614819377492704,0.09651960301232353,4008,89.03553624492754,0.36846841667317176
5,67.45097560247571,0.22544153968867497,0.22544153968867497,3480,0.09059239606486658,0.3892112767901126,0.15778244496287505,4008,77.26131088959627,0.13381852615963286
6,79.92458967826744,0.1782317682882859,0.1782317682882859,3480,0.046913396496718704,0.17039415251340084,0.0888049596772479,4008,89.33751366863748,0.0965773551916782
7,81.10327185116752,0.3856758992175191,0.3856758992175191,3480,0.02007831403734217,0.38331338817661753,0.03889041921735068,4008,88.88772372410828,0.3500103730896955
8,110.02328716019467,0.17818626381538638,0.17818626381538638,3471,0.05357864656129668,0.1524054556917207,0.10078632825940137,4008,116.98059716643945,-0.06270312507043219
9,37.250888936414086,0.2116241023475034,0.2116241023475034,3480,0.05215513387783202,0.24014439782772912,0.09761045981212291,4008,48.55525288746732,0.2522604117789272
10,46.694472777705634,0.6696991985884049,0.6696991985884049,3480,0.08665316850458447,0.6751586093835925,0.13681121722958467,4008,48.299862084118196,0.6928055529107623
11,127.38365957988935,-0.1722463600358637,-0.1722463600358637,3480,0.10998188225141603,-0.15216939952589903,0.20079646720938688,4008,131.518828580541,-0.09026337216076374
12,52.74194520285703,0.4268115562732605,0.4268115562732605,3478,0.06548307757064632,0.5555504500779407,0.11414811598499403,4008,67.58270056216004,0.5488806494491438
13,84.24376276665706,-0.023943667399544122,-0.023943667399544122,3479,0.02873785045499344,-0.01745721978059911,0.05589690538270995,4008,77.96977272864639,0.21848690925019632
14,78.95623092907468,0.09247075758097145,0.09247075758097145,3480,0.07233369610599828,0.09267439353137552,0.13398579386733864,4008,86.51145637765029,0.07078952951001649
15,76.35602917939445,0.14981965843844358,0.14981965843844358,3480,0.06249043566156956,0.1903541275836672,0.11602572403021401,4008,94.45369974336249,0.16648448387523518
16,68.67286460286107,0.40498702248304297,0.40498702248304297,3480,0.038418950657598615,0.3731043234614839,0.07240085541451868,4008,82.82143917257005,0.1325474156642943
17,62.28071357898048,0.4074553424434495,0.4074553424434495,3480,0.05949173558541847,0.40982292875136117,0.10808786847070803,4008,72.1063532907892,0.20158437178243094
18,95.28018233733845,0.1498710399349893,0.1498710399349893,3480,0.033605962308322176,0.17289492138816498,0.06458767408661512,4008,96.68382774339823,0.42006205504596195
19,71.54522237389949,-0.007016210173617088,-0.007016210173617088,3480,0.08515490459631168,-0.009238279875022792,0.1570579763418736,4008,68.78815090745559,-0.024092069668792737
20,87.44660858785083,0.0226256638979887,0.0226256638979887,3478,0.08220825072137826,0.08130953496404425,0.15091224495751293,4008,91.26790655002904,0.06112745306760459
21,82.74106197197061,-0.022102007448639327,-0.022102007448639327,3480,0.05337824532253013,-0.019691092663302046,0.10144604709243714,4008,82.17901187050934,-0.008604839514641194
22,33.48920654784532,0.46536664821161133,0.46536664821161133,3480,0.04141232679080454,0.46503898330041105,0.07687371629556865,4008,43.387196990016946,0.27357652458289183
23,28.152196610916015,0.7213729345920329,0.7213729345920329,3480,0.0902343313845415,0.717632673614194,0.13676389446966922,4008,29.811485533472798,0.5405082278248624
24,47.82805966232074,0.07673946721558644,0.07673946721558644,3480,0.04415505398219294,0.09691470913756706,0.08419358399498048,4008,63.66440984491524,0.06954370146667199
25,50.43167366671866,0.1427496179674116,0.1427496179674116,3480,0.0303803225147694,0.15843661544611398,0.05864361846321545,4008,61.00909992259488,0.2510579833992246
26,45.53262741039465,0.18938588736237383,0.18938588736237383,3480,0.1442275023415391,0.44496406146330325,0.22895933762645918,4008,68.60401701720532,-0.17361995860313573
27,33.63077034999682,0.3535743654978615,0.3535743654978615,3480,0.0706366397151199,0.36933998495101283,0.12704382364616232,4008,48.41744477235987,0.24433782754841205
28,47.73978258371074,0.11762976870911301,0.11762976870911301,3480,0.07851014990830403,0.178388559344274,0.14332471978999853,4008,59.85133362301867,0.2400560834465586
29,50.210431455821045,0.22028341068719914,0.22028341068719914,3478,0.1392526548525848,0.29015041746760406,0.23283047567525728,4008,62.88283591944893,0.14093044789277331
30,60.889480234793446,-0.3343797216951587,-0.3343797216951587,3478,0.07652306189102287,-0.3107809983055425,0.14460416910291415,4008,66.76447327160476,-0.16347151221740108
31,47.91838399577614,0.38754436983758134,0.38754436983758134,3474,0.03420809592751156,0.38653136289083323,0.06480267984417999,4008,42.487341955815744,0.3323947125419492
32,27.233967587325946,0.4036390022912332,0.4036390022912332,3480,0.07702831673478452,0.41389410409060223,0.13616172934349302,4008,36.49846668229768,0.34142077714206487
33,33.3134025463211,0.35824136406721885,0.35824136406721885,3480,0.08178111414453208,0.406360891770995,0.14375781495000917,4008,48.43651637547616,0.49895862131496216
34,42.06176987863086,0.6364158664760484,0.6364158664760484,3480,0.0666511096783874,0.6474791015248514,0.1121062886412235,4008,54.104456613300066,0.7404447742238821
35,70.91724231936304,0.2916694112289844,0.2916694112289844,3480,0.07310359660778785,0.32577733162443767,0.13190517791811193,4008,73.18271455153346,0.45242035547218873
36,44.803761721343484,0.3479256047043322,0.3479256047043322,3480,0.07478843523329536,0.3856822314736512,0.13334334938049777,4008,61.05697339470968,0.3083296119585529
37,29.99173709811676,0.05524248191880632,0.05524248191880632,3480,0.0021954428181039085,0.10417662369587122,0.0043801509632479,4008,47.287165292092205,0.02906829537990052
38,82.57856461753322,0.401879439667277,0.401879439667277,3476,0.06625331036779182,0.4631751202669864,0.11794963224970509,4008,116.8446221696355,0.6571545925614115
39,83.92711540523537,-0.17106821402635064,-0.17106821402635064,3480,0.08498539584806525,-0.27833937826902155,0.15937534496975558,4008,89.23274510339321,-1.7642316558580342
40,72.79889629600827,0.3699943017040075,0.3699943017040075,3480,0.07401973156085496,0.3825885807547659,0.13219140463040951,4008,66.45389984603328,0.44012527375220556
41,72.41141651738522,0.22649370777938493,0.22649370777938493,3480,0.05863806032791354,0.22389637475326107,0.10903783046752062,4008,78.82590038558246,0.10508993299922698
42,70.23841192724302,0.48565314194860165,0.48565314194860165,3480,0.07897476654034424,0.5004953245036716,0.13638605719244257,4008,70.61891218059382,0.5836295189529475
43,72.54964637240741,0.2587049313237245,0.2587049313237245,3480,0.02406265780298497,0.25115736910166087,0.04662704276709097,4008,79.25370325146366,0.19438156878464297
45,85.41944673522957,0.14632983720365567,0.14632983720365567,3480,0.07414731665637772,0.12850913538015163,0.13666687826606025,4008,90.77341018210392,-0.2811529666785044
46,97.65984140393056,0.07804370947779482,0.07804370947779482,3480,0.06559316313950314,0.1065173767344405,0.12221422394542002,4008,106.82832200220903,0.09661006481139056
47,22.730823445588058,0.16012182952730836,0.16012182952730836,3476,0.005081767859596721,0.19368497636586968,0.010099881623319366,4008,27.387861246909406,0.29179965062732416
48,24.029318924226274,0.5868475268821878,0.5868475268821878,3480,0.09146204685045814,0.606087490141477,0.1484546065864896,4008,32.35399322251711,0.3711784518591964
