id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,33.30165436275267,0.5486584578143432,0.5486584578143432,3192,0.11281430078223535,0.505574415381107,0.1837108462688762,3864,36.02610709472882,0.009897590734377237
1,115.46903835084656,-0.0340864784467394,-0.0340864784467394,2344,0.058970426769381,-0.022121600743800318,0.11150752289740636,3864,134.259874452572,-0.13639245134886102
2,39.80345081204503,-0.000474098827510705,-0.000474098827510705,3185,0.13380354375175416,0.036846242407902574,0.2349651819369112,3864,57.04080228828793,-0.45262748278017106
3,78.27787870808203,-0.003321653505946376,-0.003321653505946376,3191,0.018857929489607336,-0.003639832536914467,0.037020265271644724,3864,125.34447007022884,-0.002842747426179848
4,74.9221606941329,0.016616381707817873,0.016616381707817873,3192,0.06719531855523271,0.019259790464230986,0.12577329240803997,3864,91.28105021293548,0.0035191496755418994
5,112.97132704353699,0.0011920942785528243,0.0011920942785528243,3192,0.0297724642335515,0.01846760768803657,0.05779194642454477,3864,139.87101785112057,-85.94224548273556
6,36.53262311519493,0.43713487436018406,0.43713487436018406,3192,0.11655438438710557,0.4231656113392519,0.19392461971410052,3864,53.75167259090312,-0.016006065045940154
7,68.24668235506694,0.24399194888526898,0.24399194888526898,3192,0.06339121160789485,0.2238425669597438,0.11720955156687884,3864,69.0989437941182,-0.10355178678378052
8,60.20625014539189,0.1760486222172668,0.1760486222172668,3192,0.034953764552542725,0.17429939790895455,0.06706837391399688,3864,71.53759905118905,-0.5024896701502928
9,76.92107523589868,-0.08036124313655213,-0.08036124313655213,2688,0.079732541926828,-0.046028783513658356,0.14817089902344624,3864,103.1166053764537,-0.5275667107870332
10,65.35076069153399,0.19434059193047948,0.19434059193047948,3192,0.03276468022405111,0.16541973652722863,0.06305393408403367,3864,67.20060107316534,-0.02585728297620493
11,52.09476313618363,-0.008723540796887752,-0.008723540796887752,3097,0.13500813494994818,-0.10643523741494909,0.24065174646143878,3864,50.20965389228955,-0.6528412358664575
12,46.92476487729876,-0.06640573155175344,-0.06640573155175344,3192,0.1528142104412457,-0.05122401821073219,0.26683865099465975,3864,42.81567610207743,-0.1935429902637551
13,64.24097546406685,-0.0036243966197755384,-0.0036243966197755384,3192,0.051757074430422365,-0.0027970966386086094,0.0984337180454591,3864,89.4818428015048,-0.050733481521605395
14,53.319671837770684,0.2529831611985076,0.2529831611985076,3192,0.0438948190795261,0.23617928659101906,0.0830187626106072,3864,73.97054406067282,0.011898971411553827
15,57.09456794449764,0.006334759207188734,0.006334759207188734,3192,0.048284892949736515,0.008768321814026092,0.09208417989394233,3864,81.62852044612112,-0.011621599719132014
16,106.09970652741305,-0.12208655548938219,-0.12208655548938219,3192,0.07780005546515625,-0.11042163650523329,0.14541203126254587,3864,119.28010312649235,-0.05312615696721257
17,31.530090867907806,0.3755883904645029,0.3755883904645029,3192,0.02338022608015119,0.3250829327298257,0.045194829676112845,3864,35.606471009183394,-0.35708583074116906
19,99.9231863350857,-0.05140545795521523,-0.05140545795521523,3192,0.16925531425294277,-0.07127887083094131,0.29232510335500017,3864,96.67524140706612,-0.026630815682507913
20,29.877954675657403,0.02085724937817235,0.02085724937817235,3192,0.042107576227480716,0.039128073967857446,0.08067959071764062,3864,44.04943819114798,-0.19995144808006304
21,45.32757003940287,-9.530048181605189e-05,-9.530048181605189e-05,3188,0.1276131048000034,0.027300712234333835,0.22562533510885688,3864,60.79993656303392,-0.23147612590481637
22,63.49159376075135,-0.020811353076826355,-0.020811353076826355,3191,0.1697862001760297,-0.05963996887997469,0.29267677620514626,3864,101.15809625708958,-1.76993881226894
23,56.354293932359,-0.069070801744467,-0.069070801744467,3083,0.005574278562752583,-0.06488894377101007,0.011090502666749599,3864,68.40973212582614,-0.07548000417893208
24,44.80964981056534,0.12992520866026747,0.12992520866026747,3192,0.009903801628429807,0.12271000952568434,0.019586489701809106,3864,84.92444050231171,-0.1602635985061287
25,39.04262105432673,-0.0444274982591768,-0.0444274982591768,3192,0.04671624802900631,-0.01231837551169912,0.08931099184767602,3864,53.620192275073265,-2.2985284731604008
26,47.35460749394163,-0.001299313036525751,-0.001299313036525751,3192,0.01636073192843254,-0.001339042314195682,0.032195427483449876,3864,74.57156140418361,-0.00333826906964374
27,79.70398594542789,-0.0028453074912317966,-0.0028453074912317966,3192,0.019398839203170006,-0.002406235637106402,0.038061109423279775,3864,102.13429803100058,0.002127707504648302
28,129.99894808929687,-0.07515701293857036,-0.07515701293857036,3192,0.06619169439658769,-0.07587204439271411,0.12471071649252796,3864,126.05262338793717,-0.04067458929198575
29,26.058382504285383,0.1660162727323251,0.1660162727323251,3192,0.1435272744887567,0.08198189963224423,0.2482430595959024,3864,60.47824240670795,-0.1862859498541154
30,32.44166765362466,-0.10242649566512707,-0.10242649566512707,3192,0.09881369058561758,-0.11134935272372282,0.18149047218011458,3864,41.19117518611202,-0.8450565660662421
31,54.73562877909366,-0.4555835018222516,-0.4555835018222516,3175,0.0056792171466468625,-0.3828230827319625,0.011311976311334909,3864,60.7020683556562,-0.20537067958336364
32,63.927794115778724,-0.12188845300608442,-0.12188845300608442,3192,0.06896836468900963,-0.09556640109924053,0.12976756952531782,3864,113.38606594990692,-0.04515491215472389
33,132.10982891555815,-0.16592003187130477,-0.16592003187130477,3192,0.12851914098017844,-0.17313426564512335,0.23165952980680812,3864,136.26070849136573,-0.18609705051152114
34,78.64849395342304,-6.584456868740792,-1.0,3192,0.3440399752338822,-3.04662897262068,0.6341640183104256,3864,73.64901830674826,-12.398285860802767
35,44.08718598642869,-0.003412468346464692,-0.003412468346464692,3192,0.06610873577083987,0.008828574212941143,0.12395028730022191,3864,81.92617385837592,-0.06118397831997702
36,70.05641151366598,-0.019921565949247544,-0.019921565949247544,3192,0.057014799668356965,-0.015448297176960502,0.10796750285845771,3864,83.63817019447055,-0.0035562721607445003
37,64.8877956051062,-0.24263487614404866,-0.24263487614404866,450,0.003355514613652301,-6.362967855243992,0.006707972212900779,3864,69.75240740750641,-0.049679462172505184
38,122.96672424728374,-0.06268435732128763,-0.06268435732128763,3192,0.043284470581991565,-0.052202365257586925,0.08314846118691903,3864,133.97415161347783,-0.05899019586943499
39,147.94750607708679,-14.702360307946021,-1.0,2150,0.5202408512847485,-0.37309359498859296,0.7545834093459174,3864,152.6066452256103,-5.554737464636835
40,57.246481357122455,-0.026148966044168276,-0.026148966044168276,3192,0.012026274646575467,-0.027447765698791704,0.02377427147906178,3864,62.71681151227402,-0.0380675452334962
41,56.25687225218602,-0.0031561817927543423,-0.0031561817927543423,3192,0.005847318180470835,-0.0026663768596513204,0.011626831372131273,3864,71.32327837329406,-1.5471699469299356
42,44.15599137772508,-0.056423381425795505,-0.056423381425795505,271,0.31664774310766824,-7.240387675606376,0.609860782884344,3864,48.55808407128836,-0.06510983746987464
43,43.32643728533465,-0.0034816318294061954,-0.0034816318294061954,3192,0.026681512809969866,-0.0028524407956540543,0.0519800637014224,3864,67.31994927147986,-0.06291853433628569
44,87.19330710289294,-0.028860832479129073,-0.028860832479129073,3149,0.007135788908647402,-0.023963973336249333,0.014172810490963713,3864,104.86319069490924,-0.6176696427561559
45,93.3662770648404,-0.01270498800441855,-0.01270498800441855,3192,0.004906636111157794,-0.012819779779387863,0.009765960729656234,3864,99.64987463566908,-0.02265638490204025
46,160.43503572624226,-0.003203954093470518,-0.003203954093470518,2631,0.3812501825103871,-0.17097712497457462,0.575218900555736,3864,156.9076343708604,-0.03131571113287257
47,65.40182676293648,-0.5717621800062487,-0.5717621800062487,3192,0.1684181296125504,0.26843118765039153,0.27380275271588644,3864,64.4009512542364,-4.764025705450321
48,68.56455870723109,-0.003928398679880596,-0.003928398679880596,3192,0.08274531622593702,-0.014419244387860797,0.15300975655938268,3864,95.10155858023388,-0.003616979569431855
49,64.39752882711495,-0.012333887435910462,-0.012333887435910462,3192,0.04139454439660737,-0.011773978801836282,0.0795350828709739,3864,75.95491631902263,-0.009220577875146407
50,33.257437919221864,-0.008195473015681465,-0.008195473015681465,3192,0.041976387926651364,-0.009114832333183776,0.08060003708162287,3864,41.52616175259918,-0.01285864254139546
51,81.66428511512981,0.022604533360698453,0.022604533360698453,3192,0.27606838089872743,0.5107536193282471,0.35296707434585306,3864,136.22428684480775,-0.4503135313497113
52,32.80487314674705,-0.28066306198837987,-0.28066306198837987,3192,0.0023890508369941144,-0.3382434377561174,0.004769586940904695,3864,43.28179247981841,-2.508761994676962
53,50.68101313495789,0.00471857111702334,0.00471857111702334,3192,0.043198984089614756,0.03892318137352846,0.08268155437870232,3864,57.4629502832063,-0.4104032858277029
54,90.01383954603007,-0.0015073891957344543,-0.0015073891957344543,3187,0.11941628412868183,-0.16231997108114538,0.21658111230121205,3864,76.08182907020478,-0.172085823972026
55,100.24562362748743,-0.18311709544391475,-0.18311709544391475,3192,0.07843088600631529,-0.07380810746315558,0.14618446649771596,3864,117.46422817438835,-0.034005035899836944
56,159.22223381532092,-13078.2271982867,-1.0,2141,0.5217822618472843,-0.3741109530583211,0.7563577056755239,3864,162.62511058255552,-17302.20447343076
57,54.37142269169954,-0.0720639285964495,-0.0720639285964495,3153,0.006962435499558369,-0.04588813359739441,0.01383278669103285,3864,57.8003188755846,-0.10380710043433306
58,102.61203349721384,-0.09116948460983187,-0.09116948460983187,3192,0.08530689862647936,-0.08458700960328636,0.15817289658311923,3864,134.31321192735112,-0.13043389400578387
59,83.38897838107282,0.04310892097339725,0.04310892097339725,3192,0.06809273823050598,0.02176640299003796,0.1273228093492975,3864,90.50103599805753,-0.233443952939552
60,73.93734223847184,-2.8705485812534772,-1.0,3192,0.14376340003825142,-3.322216156878758,0.27827108588114907,3864,59.49323869406348,-9.97648499441863
61,57.461945352979825,-0.07527113102927108,-0.07527113102927108,3192,0.05315832589148522,-0.05198678033402415,0.10120273941858138,3864,73.33113271501671,-0.182108658717121
62,110.27595505820196,-0.02086075077260552,-0.02086075077260552,3192,0.03909741571532338,-0.025135816642366526,0.07532213798499979,3864,118.88432941690026,-0.022257512413471847
63,55.43074432527869,-0.01754266422248918,-0.01754266422248918,3189,0.04549800022129191,-0.017508324677344866,0.0871012578137776,3864,83.93406005635194,-0.12818838305248992
64,71.43145980537786,-0.003983317289215638,-0.003983317289215638,3191,0.05228010670055629,-0.011513981318029387,0.09942160699709994,3864,84.25061787212161,-0.009162288121055573
65,58.564417434470194,0.3538644139228968,0.3538644139228968,3192,0.03854690150896949,0.36890025977944674,0.07265604876562289,3864,138.20706143051703,-2022.5752219823846
66,87.62525547319842,-0.6146118895919241,-0.6146118895919241,3192,0.32239826923947956,0.4692399240665034,0.40113568795410565,3864,135.5510661376651,-2.872728592712564
67,83.21540657884691,-0.43947491335340905,-0.43947491335340905,3192,0.23079549992983542,0.4991724092407003,0.3159789669270047,3864,130.96492902271083,-3.9239681811976252
68,61.37354459924027,-0.016483661050342935,-0.016483661050342935,3192,0.0024130987242842812,-0.015461531855084365,0.004814755871623417,3864,78.9201967329008,-0.031058535232780793
69,80.10785724363735,-0.001218753184429433,-0.001218753184429433,1547,0.016267416932224773,0.00023220096355647257,0.03201392897948541,3864,83.81287359377795,-0.07435709901010101
70,113.0398617524974,-0.06420780529433023,-0.06420780529433023,3192,0.00554603422640752,-0.05431772965914128,0.011034026095507306,3864,113.66385623000703,-0.02626062225197634
71,91.65729233700604,-0.008955134320773217,-0.008955134320773217,3192,0.025747695127524232,-0.007519407105415432,0.05021219096815104,3864,85.98387077899694,-0.003945220237614011
