id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,35.24913141724241,0.43137703586671894,0.43137703586671894,3192,38.648634841390816,0.01298928181818515
1,122.67500433030511,-0.03688996282888257,-0.03688996282888257,2344,155.6304081113437,-0.14504085802764854
2,42.07103714489478,9.247271265633294e-05,9.247271265633294e-05,3185,58.93456587429844,-0.5732844684536604
3,77.19474216870101,-0.004445937400958444,-0.004445937400958444,3191,123.87329084659173,-0.004629493258829553
4,73.82181100016705,0.015037145262970397,0.015037145262970397,3192,89.2709100549213,0.016798392180140564
5,121.43958625150076,-0.03211529219991194,-0.03211529219991194,3192,164.70682629446688,-516.9402628884877
6,41.175277585585576,0.23692374293633056,0.23692374293633056,3192,51.31077908801791,0.1967308777741268
7,75.144426584131,0.11449196499471104,0.11449196499471104,3192,68.81303097312502,0.2009650029257839
8,63.23422449633609,0.09954729122477846,0.09954729122477846,3192,72.17914031941139,-0.5232950434890804
9,77.14746951962272,-0.033204177190970796,-0.033204177190970796,2688,109.92613563209031,-1.2819738398337286
10,76.2307648202324,0.03816200853821827,0.03816200853821827,3192,75.89165557761216,-0.030091251991209544
11,71.76552654274589,-0.009795361890766907,-0.009795361890766907,3097,61.16365776060133,-1.0136798759449204
12,46.17451458822506,-0.05104443710811801,-0.05104443710811801,3192,44.84444829261843,-0.3662955538873478
13,66.03045236530075,-0.030490446356071566,-0.030490446356071566,3192,86.62988330418996,-0.008981230833548626
14,65.713741873985,0.09809780163590831,0.09809780163590831,3192,80.19445513690988,0.05839536332484474
15,59.73496396838948,0.003753358449199218,0.003753358449199218,3192,88.62966935377491,-0.03625388460924861
16,106.61991080617605,-0.13768116294738486,-0.13768116294738486,3192,120.76398519842822,-0.11238003886923797
17,32.049622847297,0.33993876152910907,0.33993876152910907,3192,34.731333933496444,-0.14260306423376834
19,99.10197214209569,-0.060648209362737404,-0.060648209362737404,3192,108.35269477820202,-0.026135934526190896
20,30.581620364850554,0.03375058127162345,0.03375058127162345,3192,45.34328532742406,-0.24368859609953164
21,46.34953745857378,-0.018097317279494263,-0.018097317279494263,3188,63.468657622431955,-0.3552204735791491
22,66.69670615030363,-0.11373555777845668,-0.11373555777845668,3191,98.17556571207237,-0.6243413055255815
23,58.321732664573304,-0.0803963747508627,-0.0803963747508627,3083,71.16583331587925,-0.03188535107688972
24,53.28867645451837,0.07878247764898783,0.07878247764898783,3192,103.22696551096327,-0.1674900984838128
25,33.126114634645184,0.2820034803497291,0.2820034803497291,3192,59.687404553176606,-2.5208568117997325
26,49.41081619348374,-0.0011505843719488151,-0.0011505843719488151,3192,79.88132611361281,-0.0040083026683988
27,78.81697920679999,-0.010536711844240765,-0.010536711844240765,3192,95.65248053758091,-0.016652666801095117
28,128.16725661872155,-0.07330852515996322,-0.07330852515996322,3192,132.35991647284996,-0.03524974485042098
29,27.049497672736102,0.1428206429345309,0.1428206429345309,3192,61.910791253206675,-0.1854584901300289
30,31.615531964864918,-0.08623467424757925,-0.08623467424757925,3192,46.296102102503866,-1.3521685976934248
31,65.17276596704392,-1.0176430355548405,-1.0,3175,69.98856751002829,-0.47715426802825633
32,64.68399591793892,0.09529548230871021,0.09529548230871021,3192,121.45493166579371,-0.17279473904732567
33,136.5230768609092,-0.15968284853882264,-0.15968284853882264,3192,135.53208742385,-0.16134687983046359
34,53.50139437795226,-1.0444413800951269,-1.0,3192,55.88197602831633,-2.3644554471537464
35,45.72174594462543,-0.012331806559168212,-0.012331806559168212,3192,83.10454497940675,-0.06546277374736253
36,70.10850335563829,-0.02414824329962295,-0.02414824329962295,3192,89.20680902787004,-0.004741423671275058
37,70.02105306308142,-1.2659061751143534,-1.0,450,73.68640192565272,-0.6120272052337961
38,129.94366826012438,-0.05544784570003247,-0.05544784570003247,3192,140.97557279200961,-0.06385296358561243
39,179.65014013643415,-320992841.8445278,-1.0,2150,186.96018282996164,-597.3365936631913
40,58.76067228663137,-0.03305273387662022,-0.03305273387662022,3192,63.490176018660605,-0.056353534354357526
41,80.9300968940443,-0.016690023110220498,-0.016690023110220498,3192,87.49500476053844,-5.314932371876243
42,54.306364570977664,-0.44912019684091775,-0.44912019684091775,271,60.31534229371973,-0.5068309149354535
43,47.393260748727144,-0.0033013519801490254,-0.0033013519801490254,3192,84.59538342434152,-0.12381869976914217
44,107.81949363616621,-0.05347487879738688,-0.05347487879738688,3149,138.6784965059953,-3.2158678665277503
45,91.07910616936897,-0.01848935767070614,-0.01848935767070614,3192,101.05980031076231,-0.03033453446806278
46,180.57056508728235,-53926.9027807119,-1.0,2631,178.66948847409415,-0.0733845767780652
47,86.68608653345186,-1.2134175966823348,-1.0,3192,90.8527212067773,-6.782606411411556
48,68.39045605649288,-0.003944115598261799,-0.003944115598261799,3192,108.4485669806524,-0.0019724893248651565
49,63.47824514963434,-0.01230288738531593,-0.01230288738531593,3192,77.71005447052922,-0.009129356674995703
50,32.45341383166298,-0.007244000373652915,-0.007244000373652915,3192,44.325477177933855,-0.012840948297494714
51,93.98391925075418,-0.13500932419149558,-0.13500932419149558,3192,142.62250622846918,-0.48489567599275296
52,39.87051660239811,-0.5308806246055051,-0.5308806246055051,3192,47.03817165612178,-2.788469523965912
53,51.28868281717417,0.028268078734106306,0.028268078734106306,3192,59.109437870503456,-0.4700782733460407
54,89.73193835329816,-0.0015030060890091068,-0.0015030060890091068,3187,73.13960958432736,-0.17244974008123282
55,98.73323502675765,-0.04104762084005342,-0.04104762084005342,3192,123.36734081543395,-0.03209827546388433
56,180.36047716690794,-124901.84446949375,-1.0,2141,195.20984156879234,-497431.8826679216
