id_institution_subnet,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,34.77510513492449,0.43802347607707903,0.43802347607707903,3192,41.18648332977156,-0.16568999837910092
1,113.38809725846801,-0.07765502351223152,-0.07765502351223152,2344,159.24367760949204,-0.07747897128628933
2,42.18552240484164,-0.0015343357109400824,-0.0015343357109400824,3185,68.19425907722207,-1.23430349732141
3,74.28817396720122,-0.004441100622822436,-0.004441100622822436,3191,124.79711991100535,-0.003590276386514102
4,73.29776513949571,0.07632105754725393,0.07632105754725393,3192,94.59146542148108,-0.024518423573817838
5,107.90234779653451,0.017729678883551037,0.017729678883551037,3192,151.16375115991906,-174.822430962619
6,35.7813342530929,0.5158641907071438,0.5158641907071438,3192,51.07252524107705,0.2295832770306201
7,66.47056245241491,0.25476572369061123,0.25476572369061123,3192,68.47601409227492,0.3685607611297592
8,59.92689804941029,0.1345370051548196,0.1345370051548196,3192,76.1843711238191,-0.9250909270493337
9,76.61669538085452,-0.06134110258424541,-0.06134110258424541,2688,110.60989572935989,-1.8346162597901308
10,68.26784129184307,0.27287171662701104,0.27287171662701104,3192,75.19850470114791,-0.026895617774932434
11,46.724876758581516,-0.009282073108606737,-0.009282073108606737,3097,45.78746806926174,-0.35346315489924574
12,48.318369841274055,-0.5146263475288517,-0.5146263475288517,3192,45.76021800739365,-0.5071627107954293
13,62.03590780106959,0.02460928821840591,0.02460928821840591,3192,85.31692282551123,0.007022977051813428
14,52.80880668982273,0.32653367738016625,0.32653367738016625,3192,76.0022399013375,0.2640994686772602
15,53.37504555094229,0.011539547132432215,0.011539547132432215,3192,89.61836312498936,-0.004662534664699569
16,101.98456376502097,-0.11615285064702219,-0.11615285064702219,3192,118.70333630930236,-0.08565673283873898
17,32.25778477722371,0.3524600057802102,0.3524600057802102,3192,35.17004398395874,-0.04284581204902027
19,95.66034802882035,-0.05212708399987509,-0.05212708399987509,3192,119.34880755443582,-0.03572397824546791
20,31.092729052339507,-0.007518242741183068,-0.007518242741183068,3192,50.46475239968079,-0.4066412539499691
21,46.99723708526549,-0.08638660604012705,-0.08638660604012705,3188,65.67544217076262,-0.43156881254593893
22,63.76431895809871,-0.010236316264692347,-0.010236316264692347,3191,100.1210274955499,-0.8627753447109128
23,56.14314951078308,-0.018661803885639205,-0.018661803885639205,3083,64.97635445932079,-0.011806234188449505
24,50.34043560865354,0.08364625209231547,0.08364625209231547,3192,65.14222595599702,-0.00776354632187215
25,35.140586035013435,0.14876218307682143,0.14876218307682143,3192,70.94694387121022,-6.537949083682202
26,43.815406032366226,-0.001358934935962841,-0.001358934935962841,3192,84.43038551111512,-0.004039720928812551
27,79.30021290305037,-0.00623549244976096,-0.00623549244976096,3192,96.81683514155853,-0.013401694418428978
28,132.11898009334237,-0.07216633594741118,-0.07216633594741118,3192,126.61930584289142,-0.04111715660730031
29,27.639281205465544,0.02115663425347647,0.02115663425347647,3192,63.44143716075757,-0.1905255659811882
30,30.01580725109758,-0.07741253580115814,-0.07741253580115814,3192,49.50607538515548,-2.487262653269631
31,53.616189762410336,-0.3401503277746787,-0.3401503277746787,3175,60.8376849468397,-0.1862751274536687
