id_institution,test_SMAPE,test_R2,test_R2_clip,test_RMSE,test_R2_norm,test_Harmonic,test_RMSE_mm,test_R2_mm,test_Harmonic_mm,testall_RMSE_mm,testall_R2_mm,testall_Harmonic_mm,paper_RMSE,paper_R2,paper_Harmonic,test_n_obs,paper_n_pts,outage_SMAPE,outage_R2,outage_RMSE,outage_Harmonic,outage_RMSE_mm,outage_Harmonic_mm
0,21.09252158210004,0.7492578090433718,0.7492578090433718,0.272112912661274,0.7989040638880038,0.2312754761101235,0.0888108950136609,0.7492578090433718,0.13116440001074192,0.08927818070879744,0.7414875340341067,0.13272077827652173,0.08800050380108607,0.7414875340341067,0.13130375615757164,3480,4008,26.1522133010131,0.5202612453002426,0.3524635391994038,0.3340755812676345,0.09229885682313121,0.15481268273482554
1,23.092371411310943,0.6036002377634552,0.6036002377634552,0.39130524414040735,0.6429244582629136,0.37340758788233025,0.018093080559778905,0.6036002377634552,0.03460659433170131,0.01767940789829683,0.6106884596531494,0.033822853068272284,0.017609052602372995,0.6106884596531494,0.03369407944185308,3480,4008,22.17355598285402,0.5583097063432007,0.39619614043250356,0.3918293662807011,0.014663851078965997,0.028385326457189334
2,29.783417009514608,0.18782838914006494,0.18782838914006494,0.7118656833319877,0.2089967726870937,0.7493508568053133,0.05441324165264509,0.18782838914006494,0.10199322085311464,0.056459059343308714,0.21162599904632662,0.1053719523923895,0.055950894718988335,0.21162599904632662,0.10448639132310458,3480,4008,33.748863704184004,0.20268065853658557,0.8294271654549351,0.776233501902541,0.06842956333668711,0.12604165959374591
3,25.634750706441835,0.7148794673109706,0.7148794673109706,0.30870215635215315,0.7723966817288236,0.2620209506254448,0.07896989575007839,0.7148794673109706,0.12368322254000226,0.07660735491093969,0.7191470045331534,0.1203792536922791,0.07523553226847587,0.7191470045331534,0.11867905286097777,3480,4008,29.057071355572038,0.4882977627096424,0.3514536315116849,0.3785777304877663,0.058703901440122844,0.10532466488330357
4,69.8506963271213,0.5116085657422562,0.5116085657422562,0.404041489441526,0.631956807336177,0.3852031342914667,0.05155474070087544,0.5116085657422562,0.09326445827907315,0.05144117028222157,0.4940223292185416,0.09338788574854569,0.05133359783607945,0.4950110082160133,0.09319377749370247,3480,4008,82.350919665146,0.3274209975161857,0.45715504967804726,0.3513167856562839,0.05068627263248952,0.09426837941666859
5,66.4769493439757,0.2829736695416355,0.2829736695416355,0.45364652541026035,0.7088346719840397,0.3546832364892358,0.12215109087205847,0.2829736695416353,0.20874143231980938,0.1362704244515457,0.25077096501680596,0.23059925677144089,0.08389576972013149,0.47617328530277847,0.14462800556614144,3480,4008,76.36144431419545,0.15988075996290074,0.5016099423156043,0.3268113353952351,0.2064416126695418,0.33143905640923865
6,75.76919791601203,0.27360756793590735,0.27360756793590735,0.4572589453579706,0.5021718435676918,0.47668192221011735,0.043773498368634735,0.27360756793590735,0.08257113612408375,0.0443253638849418,0.25941018033935914,0.08364448524911217,0.0443251121745375,0.25941018033935914,0.08364403708062361,3480,4008,86.84482012820631,0.14677057693559858,0.5332014165428588,0.5590856552498834,0.04780355085362958,0.09053474688703826
7,78.39108115523408,0.49292825007794905,0.49292825007794905,0.35840985408531734,0.713318622798507,0.31855782744652467,0.01877187765570656,0.49292825007794894,0.03620349606991948,0.01823424515619359,0.49138921784618705,0.03520630625756634,0.01823424407978794,0.49138921784618705,0.03520630425119499,3480,4008,87.67318673548885,0.46886938110631304,0.3574482111418216,0.2652806980463566,0.014190031147031733,0.02764157207206767
8,107.65239501961807,0.3049362056004099,0.3049362056004099,0.43209672289362194,0.5906747095311835,0.4204028746580236,0.0491010662128568,0.3049362056004101,0.09172261469827034,0.049500599833521175,0.2786292385698391,0.0926439538099343,0.04941404176733282,0.27904952713037245,0.0924888831239759,3471,4008,113.5466843015114,0.06465486280621424,0.45230374174029153,0.3545703093796571,0.052074566779664565,0.09865651376578559
9,37.04476199511381,0.21017613948673264,0.21017613948673264,0.42738854557051137,0.6112696651554606,0.4071438522384212,0.05547420149501837,0.21017613948673275,0.10366721504031272,0.05234040711130954,0.23855792084734728,0.09794801212176626,0.0522095519640164,0.23855792084734717,0.09771884742503202,3480,4008,47.93243241793342,0.24319067824359475,0.5275487280633057,0.5064099602107605,0.022641898610889725,0.043968370266737326
10,44.689788799831256,0.7265978460459588,0.7265978460459588,0.3564951419264164,0.7043245167196339,0.32324937463343956,0.08122588992776078,0.7265978460459588,0.12524296172406146,0.07972460411486298,0.7278301642457636,0.12332466756556548,0.07900768904733448,0.7299518639342031,0.12224909385301706,3480,4008,47.09538779293022,0.7296284612210608,0.37006925251966677,0.30107984252509484,0.06901763098251155,0.10996463502199924
11,127.8209482412662,-0.16124901831947724,-0.16124901831947724,0.5177329659513389,0.10766391719155022,0.6552754380137034,0.11332733647499652,-0.16124901831947702,0.20650196080496344,0.10955433596479316,-0.1431751610031855,0.19994706911311882,0.10955176261292088,-0.14317516100318572,0.19994278322318063,3480,4008,122.05653290735548,-0.10477068260930089,0.5418654333249041,0.6158895930055274,0.08037189676625302,0.1498427561346112
12,49.11870213826035,0.42367300421762377,0.42367300421762377,0.40228251218269606,0.6533556914913878,0.37239671329158053,0.08763010642503428,0.423673004217624,0.15212909330474583,0.08337566974629555,0.4399924027590726,0.1451421287395816,0.06492297265068452,0.5631210698557638,0.11304651766139799,3478,4008,58.67371305864714,0.6444915733884969,0.47163560313864744,0.36938532913607885,0.046466682963496465,0.08219064791187541
13,82.4774194216017,0.02201336416870381,0.02201336416870381,0.41063653650405624,0.41249504067508624,0.48340040502128767,0.030050359592114217,0.02201336416870403,0.058309070433805205,0.0280979117861553,0.027633944556401557,0.054617570536514344,0.028093561029700353,0.027653218092793974,0.05460932049051841,3479,4008,82.23536130182111,0.1863424664147736,0.39460927197488493,0.4620061101089181,0.006436777495139581,0.012772512698039981
14,77.49554162554873,0.10996820214831204,0.10996820214831204,0.367309802002185,0.5187417029786261,0.4166333615280578,0.07449527074538426,0.10996820214831193,0.1374832535273523,0.07164592528479455,0.11905416068030017,0.13251464505376023,0.07123865618542259,0.11993795710864974,0.1318078234489301,3480,4008,82.70195511039262,0.2180811078248347,0.3966609078392376,0.3950654439938017,0.0488737102404219,0.09199715369772708
15,74.15414262498267,0.16882187126113413,0.16882187126113413,0.4414471891340437,0.5906527413988685,0.42479166894009557,0.07545533526647794,0.16882187126113435,0.13835100260491867,0.07099849141752279,0.17417046756250498,0.130755617379278,0.06170170107414125,0.21066333553068906,0.11445644964982125,3480,4008,86.1955414945056,0.26212932891274976,0.48711445317393265,0.3779579117407309,0.027180056968292503,0.0524288550809082
16,65.21507994102174,0.48445149959460576,0.48445149959460576,0.3860407836671412,0.5792087399669958,0.40266766559855577,0.0349417340674971,0.48445149959460576,0.06544769542482885,0.03649983285358033,0.4342829728409877,0.06857522033938586,0.036496186450098674,0.4342829728409877,0.06856878472478102,3480,4008,79.15919221075482,0.06624709166079379,0.50759544079665,0.49407436893819556,0.045452082297698516,0.08668463588598341
17,60.660135806803595,0.44188261084521874,0.44188261084521874,0.6672772651664711,0.4276582462285565,0.6161742186311492,0.06015223504015089,0.4418826108452185,0.10859989576925734,0.05734422438980293,0.45181206860930734,0.1038273903222575,0.057336371796378065,0.45181206860930734,0.10381451870080867,3480,4008,69.81652673365532,0.42801518858605714,0.7441393309291252,0.6084586017081678,0.033373834121796384,0.06306782386636921
