id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,22.061505320664217,0.7301850701169197,0.7301850701169197,3480,28.591643655700356,0.44683809954497866
1,23.46665622337589,0.5986117124847328,0.5986117124847328,3480,23.398961213313648,0.4876282200319655
2,30.149472387571315,0.15626630998219393,0.15626630998219393,3480,33.26630022746372,0.2031339887716369
3,26.218475509091927,0.708031951147867,0.708031951147867,3480,31.096539206840635,0.3869845889934078
4,68.78918170083266,0.5767889840779132,0.5767889840779132,3480,81.68290696995565,0.520126195647826
5,64.3947878490047,0.3019023493110965,0.3019023493110965,3480,74.58694149341764,0.17132981175905004
6,74.68481020157357,0.28012741745348013,0.28012741745348013,3480,88.02686258582939,0.13506982632700648
7,76.78370566771666,0.5245076404315827,0.5245076404315827,3480,83.9444641788541,0.5531738192897753
8,104.59233180672108,0.41175778490497883,0.41175778490497883,3471,110.43723420252796,0.23939343214623476
9,37.19655622389504,0.20321367008305324,0.20321367008305324,3480,49.59894401656571,0.16876302407561417
10,43.93374371274228,0.7211288089238678,0.7211288089238678,3480,48.24686383676208,0.7168720553198287
11,128.40666304578542,-0.16659781123866457,-0.16659781123866457,3480,122.652447793631,-0.1112118845191643
12,48.552244682439046,0.4558053950054296,0.4558053950054296,3478,58.13889939140595,0.6427438212472526
13,81.50005222390033,0.020829125354964728,0.020829125354964728,3479,82.04171026607813,0.17315736158260053
14,77.95885023313431,0.14657741927346368,0.14657741927346368,3480,84.36841759033939,0.2466676514163505
15,73.12982866658967,0.18463590317130907,0.18463590317130907,3480,85.35202721488425,0.41273883781521525
16,64.8411026224791,0.4949205199924436,0.4949205199924436,3480,78.66135866253832,0.1639428051708567
17,60.72669983017131,0.25444412137849126,0.25444412137849126,3480,70.41498574203078,0.4347927448793497
18,91.1934647998511,0.2635024072528559,0.2635024072528559,3480,90.77402315809046,0.26150709891218704
19,66.90526271415833,0.0014004152287867555,0.0014004152287867555,3480,67.66622223664602,-0.01807152978977622
20,83.67574535271115,0.03638996788025073,0.03638996788025073,3478,88.99991457659955,0.1259457349989891
21,70.64542094460879,-0.022100196493645807,-0.022100196493645807,3480,69.66270031513156,-0.008648231161886066
22,33.12542268162089,0.45830413066273057,0.45830413066273057,3480,41.405561963135504,0.20876739034634118
23,28.13276896645014,0.738126989490919,0.738126989490919,3480,32.22088320405354,0.38844716658393164
24,48.58509934060146,0.017061838737878032,0.017061838737878032,3480,66.14075810336291,-0.12381227210867496
25,51.8970383039545,0.13760705233837256,0.13760705233837256,3480,62.89523208636556,0.14074791630553174
26,45.587115107323015,0.19312590073237434,0.19312590073237434,3480,43.14996192147225,0.42184923095066595
27,33.10562237239375,0.36419498240485837,0.36419498240485837,3480,51.96684671264246,0.12621727607610433
28,46.8237693782568,0.135411686268624,0.135411686268624,3480,61.336092218767625,0.1307030228389343
29,50.91463587922974,0.32003353238793564,0.32003353238793564,3478,69.0870012618023,-0.853830703530637
30,48.449320945189605,-0.04221109546754365,-0.04221109546754365,3478,63.28794411630284,-0.05504972613620551
31,45.356072361560955,0.42668030513158406,0.42668030513158406,3474,46.28027179601488,0.14452334827305702
32,27.804804822805075,0.39856263060511554,0.39856263060511554,3480,39.1179259390162,0.14164832250673232
33,32.835432537009126,0.34854769631308147,0.34854769631308147,3480,51.64870835582934,0.38262972975715215
34,40.54504243935631,0.6918463494977503,0.6918463494977503,3480,52.0933639163631,0.725080358208866
35,68.41987084619485,0.3671882215100831,0.3671882215100831,3480,75.51687333602585,0.3957954892408966
36,43.43801290985182,0.37805237914893364,0.37805237914893364,3480,55.926291123085136,0.2741842585578459
37,29.55699731007509,0.017265006494595392,0.017265006494595392,3480,41.44267578668195,0.04965225525022188
38,75.28486613970097,0.4710028258520801,0.4710028258520801,3476,99.88905577913694,0.6439499522996401
39,74.46024027827009,0.23265593635423654,0.23265593635423654,3480,76.35383080151557,0.2770868512826209
40,72.17048203942335,0.4634368940646719,0.4634368940646719,3480,64.18309992270284,0.5464852490791305
41,65.56965838962883,0.3988900525250366,0.3988900525250366,3480,76.32363805756002,0.31017956504232613
42,67.19799564138351,0.5404463865137736,0.5404463865137736,3480,66.4892974067014,0.6258374952287316
43,70.64537540124846,0.34413197154204356,0.34413197154204356,3480,75.86181936344181,0.21906561921994872
45,82.1874277634032,0.4324401598473181,0.4324401598473181,3480,90.79040223487675,0.5160717337574332
46,91.30644348230504,0.35813465021544955,0.35813465021544955,3480,101.56836048363478,0.2754351035474688
47,21.89204128090744,0.12940287135761064,0.12940287135761064,3476,22.80759444007363,0.3267861241287351
48,25.11073262799287,0.5530138999140228,0.5530138999140228,3480,34.43193981841402,0.2548044658313027
49,34.72803820047149,0.1742124478085637,0.1742124478085637,3480,37.92334475495625,0.26391946363594676
50,27.928213091564867,0.6974315756336906,0.6974315756336906,3480,34.009861397799476,0.4164220966479838
51,44.19138409605862,0.0479450807255023,0.0479450807255023,3480,29.223377804603334,-0.09540546246212434
52,34.58083857878906,0.605050772052965,0.605050772052965,3480,39.23184082013693,0.6350541576130537
53,28.40197866679785,0.6823856186379492,0.6823856186379492,3480,35.992081684164994,0.3494707881519932
54,68.22700178419241,0.4301371908679027,0.4301371908679027,3480,68.9810590683383,0.7276326943884868
55,28.635467526564078,0.5848072117474974,0.5848072117474974,3480,34.58735329522681,0.5111434372054295
56,33.78752267202012,0.5639068933626203,0.5639068933626203,3480,43.915234711092495,0.2750173381748958
57,27.659462080380493,0.628773829999722,0.628773829999722,3480,37.52053110676339,0.2432537334888888
58,74.16523698523122,0.42988029950639073,0.42988029950639073,3480,84.82097100687373,0.4728552172765975
59,32.052845054540775,0.5939680272721847,0.5939680272721847,3480,38.99212292634315,0.31952372644724836
60,33.72028374920274,0.39467488251318406,0.39467488251318406,3480,54.97285245631518,0.18059711945499402
61,29.826128878601843,-0.34683765377215137,-0.34683765377215137,3480,36.64304662068309,0.041074392268486526
62,77.88898535278241,0.4810631961004759,0.4810631961004759,3480,74.45326420630832,0.5877098251948482
63,77.22833857737407,0.5722332190117727,0.5722332190117727,3480,77.9588256166466,0.6154106845744898
64,62.043385826196165,0.5349112144208215,0.5349112144208215,3480,73.92590786767748,0.5382752009089316
65,76.55853921194846,0.5030252609095248,0.5030252609095248,3480,84.40900739831491,0.6318670041565508
66,47.98663328751988,0.3295003267633436,0.3295003267633436,3480,60.76367621443093,0.22669694642662286
67,39.11094877337503,0.43689235865911336,0.43689235865911336,3480,47.64462419038246,0.21011848435149516
68,28.676410638444406,0.5254175501531354,0.5254175501531354,3480,47.27844555160899,0.2741984296909452
69,35.13033180874234,0.7022224330641086,0.7022224330641086,3480,52.22806501406044,0.5827710764039815
70,70.00242537503813,0.6647651989745615,0.6647651989745615,3480,77.98124864944263,0.5170143540725436
