id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts
0,21.16855488439596,0.7449113083285346,0.7449113083285346,3480,0.08824073520865178,0.7400741880256301,0.13175329412832607,4008
1,23.111060177269437,0.6034039467084651,0.6034039467084651,3480,0.017585644967687906,0.6117227919000062,0.03364735195193097,4008
2,30.32972113645854,0.1708853713182955,0.1708853713182955,3480,0.056531214655095675,0.1951872348977075,0.10564198334322551,4008
3,25.72302136191928,0.7144839841959901,0.7144839841959901,3480,0.07514208233869303,0.7198442653100534,0.11850050450510988,4008
4,69.74945564784178,0.48423299789874985,0.48423299789874985,3480,0.052577768839901916,0.4702355534014875,0.09566138904041324,4008
5,66.42577746625241,0.2725170972484833,0.2725170972484833,3480,0.08508561776083584,0.4612096233314442,0.14696289792129805,4008
6,76.07230361134424,0.24918725229227567,0.24918725229227567,3480,0.04502099161076831,0.23597395459688053,0.08503142241879783,4008
7,78.83342146536268,0.43515198517097076,0.43515198517097076,3480,0.019454759924455528,0.4210223666795524,0.03764458938060564,4008
8,106.9561311280553,0.2714495620359385,0.2714495620359385,3471,0.05028489026530298,0.2534142634804083,0.09422353032636517,4008
9,37.326365597850256,0.22211689213504004,0.22211689213504004,3480,0.051832346427698496,0.24952076567309522,0.09696756370845358,4008
10,45.211252970119666,0.6905538578612704,0.6905538578612704,3480,0.08488728283262857,0.6882634455916223,0.13343862157862837,4008
11,128.2786239023587,-0.16507966507879646,-0.16507966507879646,3480,0.10967650739195885,-0.1457800725173446,0.20019036676216392,4008
12,49.85442286118768,0.42523882523066836,0.42523882523066836,3478,0.06515915003825158,0.5599367239626991,0.11351099060417003,4008
13,82.79018373364461,0.0318958281731162,0.0318958281731162,3479,0.027951642110575207,0.03745232147032829,0.0543257075779425,4008
14,77.8977099264406,0.11635746226621124,0.11635746226621124,3480,0.07108009242959906,0.1238512999178285,0.1314924780079253,4008
15,74.19924660209844,0.1522933729472855,0.1522933729472855,3480,0.06278212453929348,0.1827780602818474,0.11660611962950697,4008
16,65.19458686267573,0.49825282182578223,0.49825282182578223,3480,0.03570781073736447,0.4584597693118151,0.06699794430251495,4008
17,60.18863580324167,0.4618891554392611,0.4618891554392611,3480,0.056710772994854206,0.46370939510325915,0.10257465121483046,4008
