id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts
0,21.95545584175823,0.7304163021552907,0.7304163021552907,3480,0.09175144942693594,0.7189801220593196,0.1383367186576055,4008
1,23.802174038538105,0.5709259638778923,0.5709259638778923,3480,0.018396461495481117,0.5750929981655826,0.03526606916034884,4008
2,29.356259806520786,0.2141906742999402,0.2141906742999402,3480,0.055155700608346306,0.23387606059096377,0.10290308092877426,4008
3,26.625036360592684,0.6962450255540502,0.6962450255540502,3480,0.07786117327306011,0.6992019946411563,0.12370219414753945,4008
4,68.66605059993259,0.4984827758639546,0.4984827758639546,3480,0.05165134083292908,0.4887401323284213,0.0938238829866592,4008
5,65.03863710337153,0.2633766536442993,0.2633766536442993,3480,0.08682555523454685,0.4389485929254614,0.15037917002250367,4008
6,75.72082024773671,0.2485307452168175,0.2485307452168175,3480,0.04505967298289482,0.23466051076914496,0.0851085457971935,4008
7,76.96867179595552,0.4429091839803797,0.4429091839803797,3480,0.019084578685392595,0.4428460824548589,0.03690502404411058,4008
8,107.2993755146876,0.26868654787349333,0.26868654787349333,3471,0.05034478952363314,0.251634541309117,0.09434285233918933,4008
9,37.20548228362494,0.20809218871976498,0.20809218871976498,3480,0.05233248838069962,0.23496780499925318,0.09796371012779312,4008
10,44.324228946040165,0.7003725849894191,0.7003725849894191,3480,0.08312654411857426,0.701061454363513,0.13008112423212922,4008
11,127.95461548204582,-0.16499514868917808,-0.16499514868917808,3480,0.10975458277477426,-0.14741194539246827,0.2003453265987516,4008
12,49.22553227046574,0.41246349635578783,0.41246349635578783,3478,0.0661352355274665,0.5466536583472028,0.11543110823473543,4008
13,82.6661040717656,0.02704322800269876,0.02704322800269876,3479,0.028024889368819125,0.032401000627378274,0.05447208572923252,4008
14,77.82649326147786,0.11673358404042322,0.11673358404042322,3480,0.07111362248675525,0.12302450738133475,0.13155916067085205,4008
15,73.68910299959151,0.15916140783881738,0.15916140783881738,3480,0.062314092433169314,0.1949171975840649,0.11567485303213813,4008
16,65.6452756069516,0.4594375536196925,0.4594375536196925,3480,0.036831431083190355,0.42384217502340593,0.06923683250199295,4008
17,61.54654990735888,0.372264078462773,0.372264078462773,3480,0.060719389671498925,0.38521416874210135,0.11052296650292309,4008
18,92.80254716719686,0.2317660570516582,0.2317660570516582,3480,0.03206674473401056,0.24692580743415582,0.06151414797406592,4008
19,67.5265080244553,-0.005558387671506182,-0.005558387671506182,3480,0.08506063911315281,-0.007005086681484363,0.15687058798772446,4008
20,83.65894697185956,0.04392895672430386,0.04392895672430386,3478,0.08136166430148804,0.10013358724741539,0.14923060336873223,4008
21,73.63813071728288,-0.022228679784484617,-0.022228679784484617,3480,0.05338157875576217,-0.019818454598448776,0.10145269746326765,4008
22,33.42279650474808,0.43612286395866295,0.43612286395866295,3480,0.042592053628084006,0.43412561964191787,0.07922130329219838,4008
23,28.371878643822857,0.7290450252043128,0.7290450252043128,3480,0.09062702950579465,0.7151696110115202,0.13750338011978616,4008
24,48.66538429860462,0.013893453042114201,0.013893453042114201,3480,0.045756619335614014,0.030214272946498033,0.08738998724706323,4008
25,51.9231215197424,0.12912689871482697,0.12912689871482697,3480,0.030825196639065012,0.13360929762591955,0.0595323016373507,4008
26,45.657582101872784,0.1665253327834857,0.1665253327834857,3480,0.11088391569261428,0.671933377783174,0.16574674610357243,4008
27,33.43527992779401,0.3313145821215112,0.3313145821215112,3480,0.07233009044942758,0.3387384799526194,0.13039708980140008,4008
28,47.67906245796211,0.0984135786129261,0.0984135786129261,3480,0.07985607578065722,0.14997677086726535,0.14599640844198558,4008
29,51.0549444530438,0.3175092343266409,0.3175092343266409,3478,0.1344827812234028,0.3379470455067928,0.22355487304613295,4008
30,46.42688589653048,0.06514502867734229,0.06514502867734229,3478,0.06436290960239634,0.07270739492503064,0.12037093372052443,4008
31,45.892787823521594,0.37257364539779736,0.37257364539779736,3474,0.03500297667243397,0.35769024308295294,0.06638810204761605,4008
32,28.128711337404045,0.3453652810292269,0.3453652810292269,3480,0.08118124522165214,0.348991450161361,0.14436061546443943,4008
33,32.81174716275988,0.33898465937433786,0.33898465937433786,3480,0.08373713043865925,0.37762433045158283,0.14761367482299584,4008
34,41.00401822896889,0.649829014624661,0.649829014624661,3480,0.06609757102612766,0.6533101716612035,0.11102739854905948,4008
35,69.26214162939146,0.3077730841905212,0.3077730841905212,3480,0.07274841201800691,0.3323130358670645,0.13120163603823556,4008
36,43.983767915647434,0.3464806523104367,0.3464806523104367,3480,0.07520548433999191,0.37881178385451464,0.13416767161721635,4008
37,29.310647021281213,0.05045526501115605,0.05045526501115605,3480,0.002190454484409683,0.10824285507122788,0.004370174355624095,4008
38,76.15595664239798,0.43557781199502654,0.43557781199502654,3476,0.06410775470851385,0.497381345833272,0.11371184715811326,4008
39,77.76355503374262,0.20423787060892096,0.20423787060892096,3480,0.06672452931200824,0.21199567393837537,0.12303133893684658,4008
40,72.76609147689896,0.45187222876023647,0.45187222876023647,3480,0.06869592658862171,0.4682082228972301,0.12167419467779612,4008
41,69.00263448839122,0.3349210618183526,0.3349210618183526,3480,0.054848029994766775,0.32097996765449455,0.10149756614933704,4008
42,67.64161156668702,0.4637977093807948,0.4637977093807948,3480,0.08049160585814094,0.481123454390627,0.1393641163480707,4008
43,70.46165386233777,0.2816844837298317,0.2816844837298317,3480,0.023905231790212155,0.2609236784839485,0.04631249785774743,4008
45,82.05526615902218,0.45193377815963254,0.45193377815963254,3480,0.05631208070240594,0.4973390929833381,0.10127817330626711,4008
46,92.21990164649631,0.35954454510935785,0.35954454510935785,3480,0.055664146056554634,0.35654220972519823,0.10246432434100697,4008
47,21.261262954087584,0.22759830666861292,0.22759830666861292,3476,0.004873232159349922,0.2585031496356688,0.009682827277947562,4008
48,25.11829342687403,0.5567980504377219,0.5567980504377219,3480,0.09522397158348078,0.5730170605792297,0.15571992799499176,4008
49,34.48470539202338,0.19231146533302412,0.19231146533302412,3480,0.06747591846911973,0.27183954492302387,0.12350691127965276,4008
50,27.496464617413434,0.6921291481764538,0.6921291481764538,3480,0.07802439451483445,0.6898290129109075,0.12468413902145281,4008
51,44.50210716412306,0.036068946410249825,0.036068946410249825,3480,0.04148245798172108,0.04070233218136343,0.07952601010221899,4008
52,35.38638610830262,0.5856272417033503,0.5856272417033503,3480,0.06058700002620812,0.5907170730665876,0.10554931602154742,4008
53,28.078266516018058,0.6807244373770269,0.6807244373770269,3480,0.09925676560453957,0.6829230431217936,0.15118656735170002,4008
54,67.85321576892652,0.4410406703755311,0.4410406703755311,3480,0.0467243808920324,0.4569423451956396,0.08604545806300143,4008
55,28.735552290067922,0.5643174194792389,0.5643174194792389,3480,0.07755987634331085,0.5925141369729257,0.13031576440214301,4008
56,34.33143177227611,0.5532434992276765,0.5532434992276765,3480,0.08852809902538301,0.5621026548404208,0.1472809491389966,4008
57,27.890149748994393,0.6124877991541307,0.6124877991541307,3480,0.04685635496917658,0.6158199936130166,0.08352555081289205,4008
58,74.2524582987638,0.3831342251084999,0.3831342251084999,3480,0.0597463768786658,0.3922451002176536,0.10879725496223223,4008
59,31.87511029698684,0.5818647829846465,0.5818647829846465,3480,0.09459854449051774,0.5906703206880701,0.1536805840621419,4008
60,34.06636988827287,0.36140268314207646,0.36140268314207646,3480,0.0681453978277281,0.3570597165945004,0.12322965445220303,4008
61,29.090525695135256,0.08625359800587651,0.08625359800587651,3480,0.09560471201185132,0.12963082860770714,0.17228497665322456,4008
62,76.08392414340214,0.5742858883004321,0.5742858883004321,3480,0.0674573915910964,0.5616219663101629,0.11692276659795596,4008
63,78.66792055757007,0.4989651911231303,0.4989651911231303,3480,0.07635813131376205,0.49377177551903206,0.13270012541546733,4008
64,63.3161885693465,0.4689477821253065,0.4689477821253065,3480,0.054976372423030856,0.4951112268023041,0.09915585367168854,4008
65,77.09968017857838,0.3997833196174766,0.3997833196174766,3480,0.04446041132922234,0.4211510852642052,0.0825781350299992,4008
66,48.071764438010526,0.2907341080691985,0.2907341080691985,3480,0.055371382934460006,0.3006122107187238,0.10261834642245256,4008
67,39.53351754848567,0.4186536899447121,0.4186536899447121,3480,0.06441407433885442,0.4270301981385216,0.11580876388352132,4008
68,28.178292644511167,0.5407976529428837,0.5407976529428837,3480,0.0905190033713377,0.5574543550591069,0.15029618209801815,4008
69,35.78916123817058,0.6551702782087683,0.6551702782087683,3480,0.06094097861478646,0.6561947528237948,0.10353069098974566,4008
70,72.03006111573188,0.5510079048386487,0.5510079048386487,3480,0.06665695250887099,0.537889845930758,0.11650821017592977,4008
71,80.80455696038692,0.33078891470780925,0.33078891470780925,3480,0.0656981350196046,0.325990331759173,0.11972613508584151,4008
72,94.44795207423104,0.3621700157085469,0.3621700157085469,3480,0.05742407362043481,0.3532211632091381,0.10548287997936635,4008
73,61.79714407254101,0.3724684734594327,0.3724684734594327,3480,0.04747841471576646,0.4117432007567774,0.08786519815352185,4008
74,36.061989965552634,0.5300403661064816,0.5300403661064816,3480,0.057319005388595676,0.5304713930232359,0.10216583361770014,4008
75,40.94133670662845,0.03558900981074309,0.03558900981074309,3480,0.07939501158160303,0.08398408263049784,0.14612476566862512,4008
76,67.1616358868247,0.28996917808929923,0.28996917808929923,3480,0.07193016458081389,0.28765715156744764,0.13066607539853217,4008
77,62.70657642951678,0.08482497223241547,0.08482497223241547,3480,0.019575150441909654,0.084059105283676,0.038331102716547716,4008
78,54.32012348281552,0.13884921098422942,0.13884921098422942,3480,0.102806485722986,0.1713298334611193,0.18291959855026743,4008
79,46.792031467703595,0.2751032079732837,0.2751032079732837,3480,0.03489009528284405,0.28519614057174736,0.0665326820558588,4008
80,24.308345578101882,0.6462582092542236,0.6462582092542236,3480,0.08984021586663518,0.6346364957648829,0.14421822424006522,4008
81,52.17686817112773,0.3272364249417845,0.3272364249417845,3480,0.028499804000379776,0.3277153806409234,0.05468152329172361,4008
82,86.90691453772547,0.1732935882892681,0.1732935882892681,3480,0.02252157926718471,0.18556854900444342,0.04383109163372422,4008
83,106.53721027643658,-0.24558377050746505,-0.24558377050746505,3480,0.11643511607429079,-0.23975061114787288,0.21287719434689015,4008
84,54.213257878842356,-0.03625351885305328,-0.03625351885305328,3479,0.11399503805141087,-0.03874157721768845,0.2054439566715256,4008
85,48.03342303810946,0.16971219048622044,0.16971219048622044,3464,0.043970893451643026,0.1978227878429859,0.0833718080588733,4008
86,48.19975948872701,0.4979269027722205,0.4979269027722205,3476,0.053798842532522206,0.5073577561327482,0.09700435476878755,4008
87,59.03294143942506,0.2016859858806005,0.2016859858806005,3480,0.07320526403892305,0.20903371046365238,0.13400787339467118,4008
88,72.3532989190989,0.4511406494140884,0.4511406494140884,3480,0.06518549212058002,0.44000499881314425,0.11677763502924642,4008
89,64.42389523280286,-0.10337204729540383,-0.10337204729540383,3480,0.09466293816863317,-0.08556874021899508,0.1741406003837169,4008
90,41.301180424050905,0.2169326703601031,0.2169326703601031,3480,0.051838730421432375,0.27768994064416896,0.09673498671594889,4008
91,68.00277264681667,0.22064370692182467,0.22064370692182467,3480,0.03738967753567575,0.22311436607966428,0.07134565650146102,4008
92,81.87534138383661,0.0327058186429644,0.0327058186429644,3480,0.0480176951816106,0.14337120368628076,0.09093793169349734,4008
93,77.73003254177473,0.474197418115196,0.474197418115196,3480,0.06158659385026926,0.4649865887678868,0.1104581072118809,4008
94,38.015488612560574,0.4790609090330028,0.4790609090330028,3480,0.03844249968896494,0.49442102582827385,0.07145203081568338,4008
95,37.34704751157107,0.4204530813903318,0.4204530813903318,3480,0.05248940618200022,0.4168225344379448,0.09631031669808715,4008
96,62.965906613903435,0.3586338613854848,0.3586338613854848,3480,0.07693960442072048,0.38833503155400706,0.1366858791376524,4008
97,46.67117010949238,0.12868073318386475,0.12868073318386475,3480,0.057328701110878226,0.14141335289435653,0.10748080019743168,4008
98,53.41860818341006,0.320752816266333,0.320752816266333,3479,0.04619262711847497,0.3222748418658494,0.08649022349292187,4008
99,79.02960307097781,0.4571646642820174,0.4571646642820174,3480,0.01656615282526957,0.4514077262554169,0.03216111808072498,4008
100,42.50928640821509,0.45863220656385717,0.45863220656385717,3480,0.039600523458098356,0.46755203544697066,0.07371828980374405,4008
101,42.56859889183346,0.5483330301106251,0.5483330301106251,3480,0.08042658742518143,0.5744052320353032,0.13528731326779558,4008
102,69.27441802603524,0.3662909894767138,0.3662909894767138,3480,0.036071030989915764,0.36511744922724065,0.06826364382381762,4008
103,55.839009122657444,0.12512543529145037,0.12512543529145037,3480,0.07119252642366379,0.14361274824123604,0.13145688054819568,4008
