id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts
0,21.619999972391067,0.7359457637357101,0.7359457637357101,3480,0.08994196885610772,0.7299551161056287,0.1349403087996327,4008
1,23.194237406158233,0.5983384992825707,0.5983384992825707,3480,0.017724571011408754,0.6055638041782958,0.03392468631126417,4008
2,29.967932042111688,0.17053857762461255,0.17053857762461255,3480,0.05625346370694625,0.20307626980272497,0.10508888529640954,4008
3,25.803193358766034,0.7053169017558737,0.7053169017558737,3480,0.07641872219831708,0.7102438865688279,0.1209410903373261,4008
4,67.63285535734308,0.5664075003709088,0.5664075003709088,3480,0.047929841619404105,0.5597589951179389,0.08644793841985877,4008
5,63.85328305946639,0.3028990941007218,0.3028990941007218,3480,0.0814573106245985,0.5061811630619402,0.13984641832680966,4008
6,74.44463841474537,0.30152332696889794,0.30152332696889794,3480,0.04357070242675774,0.284405203176487,0.08214010774020915,4008
7,76.30475282681276,0.5229200464855872,0.5229200464855872,3480,0.017557235056239656,0.5284559362537367,0.033853968439002784,4008
8,104.74804297534462,0.37077425142829834,0.37077425142829834,3471,0.046778953650789865,0.35389116207290117,0.08724152958137346,4008
9,37.02713976922667,0.21768480499046117,0.21768480499046117,3480,0.051954672604093574,0.24597427044363895,0.09721119721807964,4008
10,43.76739882343834,0.7343661467395127,0.7343661467395127,3480,0.07797491363031646,0.7369657689966022,0.12029044831825253,4008
11,127.30378052913913,-0.1514044465560076,-0.1514044465560076,3480,0.10910003799261805,-0.13376708406762527,0.1990462693091693,4008
12,48.507901492446784,0.4505733001517238,0.4505733001517238,3478,0.06257248687943522,0.5941821569618015,0.10842679721169192,4008
13,81.30423038385447,0.02829276874789355,0.02829276874789355,3479,0.028000455918497782,0.03408746409548813,0.054423257579341286,4008
14,77.14935870557343,0.13949772263043625,0.13949772263043625,3480,0.0700859762835468,0.14818730576515382,0.1295155881992921,4008
15,73.68756695579064,0.1731258892894887,0.1731258892894887,3480,0.061607777161241405,0.21306460355938073,0.11426959064066301,4008
16,64.98274979107822,0.4875393020232206,0.4875393020232206,3480,0.03585655701272145,0.4539386370131161,0.06729430292985947,4008
17,60.432910227572975,0.4832084801457446,0.4832084801457446,3480,0.05532186987761914,0.4896563017112915,0.09982282556497837,4008
18,91.59163869825683,0.2771124408603629,0.2771124408603629,3480,0.031178433810036214,0.28807112715722183,0.059740570549261955,4008
19,67.88804421045903,0.001317407983373986,0.001317407983373986,3480,0.08479831022133164,-0.0008034125936804415,0.15634912227593734,4008
20,82.5629642128765,0.05805390191112281,0.05805390191112281,3478,0.08114792312059807,0.10485536549245666,0.1488060672290844,4008
21,73.01622133825065,-0.022226962381825643,-0.022226962381825643,3480,0.053381534041961005,-0.0198167461461487,0.1014526082569205,4008
22,32.83634650904387,0.46314551677475435,0.46314551677475435,3480,0.04157464531848549,0.4608371300122339,0.07719668351997984,4008
23,27.57365130154575,0.7322791841548937,0.7322791841548937,3480,0.08909665057373709,0.7247080018430769,0.134623265850759,4008
24,48.259657541193896,0.043174896477125135,0.043174896477125135,3480,0.045044482433865635,0.06016604608261933,0.08596864844522568,4008
25,51.232027521707536,0.15028737523546642,0.15028737523546642,3480,0.03034988054957494,0.160122312353163,0.05858280851562619,4008
26,45.65998794321233,0.19345455304167114,0.19345455304167114,3480,0.10899364859382892,0.6830233135784451,0.1622105707009834,4008
27,33.30515045259231,0.3565230517824537,0.3565230517824537,3480,0.07093679096058358,0.36396896036070336,0.12763805918877996,4008
28,46.82155382418843,0.13183984048259823,0.13183984048259823,3480,0.07792284618903232,0.19063488993889577,0.1421591097631918,4008
29,51.326736123759744,0.3469615642634113,0.3469615642634113,3478,0.13120702019460626,0.36980709600603834,0.21719396194832133,4008
30,49.44492488854371,-0.033705804584281074,-0.033705804584281074,3478,0.0670727165479706,-0.007018042195881868,0.12576858175725975,4008
31,44.954412171861065,0.32062714552893257,0.32062714552893257,3474,0.03604356740959347,0.3189325896388586,0.0684638776333926,4008
32,27.772596042694058,0.39047989162583174,0.39047989162583174,3480,0.0783233018795058,0.39402145132649113,0.13871726566837045,4008
