variant,revin_mode,SMAPE_median,SMAPE_std,R2_median,R2_std,R2_clip_mean
A — GRU (no RevIN),none,63.12562548201945,0.18748037357348057,0.24156520267564333,0.011912286756028692,0.24231565601386543
B — GRU + Standard RevIN,standard,62.841373843658936,0.6383167596455467,0.27039637198447425,0.010221232042700725,0.2602602232793952
C — ISPNet (Mask-Aware RevIN),mask_aware,62.390321061178895,0.33148152879057063,0.2642998097359837,0.013799449410594262,0.25436234772350125
D — ISPNet + FourierKAN,mask_aware,62.80309651393153,0.21838291751791195,0.2569137273594129,0.005190704057715091,0.24702545488848746
E — ISPNet + ChebyKAN,mask_aware,62.586383176708004,0.10459094198048419,0.2538802348627039,0.0008290613830210747,0.24231348746888937
