id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,33.88571061791449,0.42750599423265256,0.42750599423265256,3192,43.93226969948338,-0.3207387934206125
1,34.733481568435145,-0.6587892149809507,-0.6587892149809507,3192,33.112724072805555,-0.01303461181999066
2,33.8142692198594,-0.07055733073873993,-0.07055733073873993,3192,44.403212099523785,-0.37516547725700145
3,36.35600805775201,0.5292436921164955,0.5292436921164955,3192,50.1747088394839,-1.2165300135917363
4,86.71186492076579,0.19261182620520567,0.19261182620520567,3192,110.30335129595828,-0.1139065990308854
5,75.5225452475178,0.21204135599659257,0.21204135599659257,3192,84.82367211336155,0.1088423545469801
6,88.1909519731542,0.13628730040639547,0.13628730040639547,3192,99.46635952658592,0.08193542100367002
7,97.20671321734751,-0.516281165791193,-0.516281165791193,3192,114.5798390913058,-1.2863775568865679
8,118.79669478838866,0.12429570289560299,0.12429570289560299,3183,133.93597590187153,0.10428187447496917
9,46.01244313661043,0.1525619698431817,0.1525619698431817,3192,74.09045819306577,-0.713601917719819
10,55.74468440257648,0.48120473235403505,0.48120473235403505,3192,66.22124192730425,0.1457303637930133
11,129.58445633647136,-0.187283688569573,-0.187283688569573,3192,147.7556418812564,-0.18139863881891127
12,61.31176219025979,0.274684011951874,0.274684011951874,3190,87.47227435303483,0.25044654553058354
13,86.05877115797578,0.016411889656298584,0.016411889656298584,3191,95.06064500975872,-0.400013011234329
14,86.47759128440278,0.10205634107864414,0.10205634107864414,3192,105.15347378129785,-0.0772549117781407
15,77.98789119778186,0.07831193681349558,0.07831193681349558,3192,111.32165600058315,0.030228044996390202
16,71.26153137501333,0.35682120710768295,0.35682120710768295,3192,95.96360695815486,-0.05994724998758949
17,66.86549620557409,0.25522100572380335,0.25522100572380335,3192,93.05208982164281,-0.5792439383790533
18,94.87423864397262,0.17368634586795573,0.17368634586795573,3192,120.65912151565989,0.1282707829421269
19,75.92699529079766,0.007674543168813663,0.007674543168813663,3192,87.09731840695379,-0.04776566493307066
20,100.22841333258046,-0.05795928377405679,-0.05795928377405679,3190,103.66224888136637,0.03424730329630066
21,76.73735199080951,-0.023347562169068636,-0.023347562169068636,3192,113.34246508693799,-0.009783228290445978
22,40.35247230632393,0.4098532004028852,0.4098532004028852,3192,58.158479467891176,-0.040626214692591756
23,40.846354392441754,0.5662233225101208,0.5662233225101208,3192,47.895073617629095,-0.298974702352373
24,52.03326396030943,0.011838502243918358,0.011838502243918358,3192,72.84455892318336,-0.24559899619946313
25,56.10935291135261,0.06376722434400695,0.06376722434400695,3192,62.871383967254545,0.11492789765245537
26,51.69514994967977,0.05891211189891188,0.05891211189891188,3192,100.9352419219994,-0.41678461503479314
27,39.31301862330343,0.2118715224456974,0.2118715224456974,3192,66.41054379798604,-0.2984704287746882
28,49.634281367720554,0.06767166225202148,0.06767166225202148,3192,69.82349391292153,-0.04906792737757759
29,56.83111045850322,-0.021014660265542107,-0.021014660265542107,3190,79.60533449742626,-0.39630948865352367
30,86.77245849526985,-13.683185380907851,-1.0,3190,80.34949361785752,-1.1318002882580913
31,50.50868400107629,0.2162432809452619,0.2162432809452619,3186,55.47677526167259,-0.0352136727690735
32,33.67357878995742,0.17122749873028886,0.17122749873028886,3192,50.15501435573759,-0.22581407381533536
33,37.78280269189338,0.23276790154678362,0.23276790154678362,3192,71.63870301486436,-0.0993666951259844
34,51.553342968166405,0.5492893972108385,0.5492893972108385,3192,85.48074183977783,0.26127728057756106
35,76.87875755651214,0.21216596694605372,0.21216596694605372,3192,87.63328174721782,0.2902551806218201
36,48.07768247636848,0.28330758868189043,0.28330758868189043,3192,79.84079120379631,0.09138269500621332
37,37.511757946947405,-0.6171117677081106,-0.6171117677081106,3192,67.78990932885223,-0.9722744429556247
38,89.50424801976776,0.2795546595412216,0.2795546595412216,3188,140.92134621397332,-0.5696891477180341
39,92.64868290727036,-0.08484528216314557,-0.08484528216314557,3192,103.37823736799257,-0.2738218997395194
40,83.2951585381951,0.23520875546820352,0.23520875546820352,3192,73.91303684064926,0.3343670226099742
