id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,31.775452528205562,0.47146251280489726,0.47146251280489726,3192,0.13338876172878422,0.41299680384020276,0.21738063177741387,3864,44.589595394604956,-0.3021538355093325
1,31.55044327153545,0.35066163044100496,0.35066163044100496,3192,0.023504093427784555,0.3163809231459245,0.04544567997959778,3864,38.09108119196341,-0.2235010079644264
2,32.11172944646851,0.031279583774799335,0.031279583774799335,3192,0.06227306004037765,0.04121185080559675,0.11695023068309865,3864,40.80645544696594,-0.07616387905578081
3,37.208783176699306,0.5150349431140108,0.5150349431140108,3192,0.10653025027773252,0.4374028363840864,0.1791396239373681,3864,55.68854448102359,-1.5094664464516074
4,87.31192846590753,0.2836779996167367,0.2836779996167367,3192,0.06210091869471359,0.2826566164779051,0.1143062641155983,3864,115.95394229798497,0.27230213345457743
5,81.67190332146748,0.14777837541456051,0.14777837541456051,3192,0.10626921661882693,0.1565673643642338,0.18875592428714646,3864,96.56834301965525,0.004481001598522827
6,94.49011362791052,0.12257394572599112,0.12257394572599112,3192,0.048881607474163154,0.11882251925042198,0.09262502194637082,3864,105.7233985489809,0.09631236286956657
7,100.49065970379533,0.230893022950584,0.230893022950584,3192,0.02285581582504239,0.22457140759837224,0.04440285419772615,3864,118.1018953360244,0.17654451097626134
8,122.97717888739035,0.09889826709018879,0.09889826709018879,3183,0.056327979921842304,0.0915633607364783,0.1060785185507927,3864,137.34843634923072,0.04517835894592093
9,47.003076507808785,0.14820646974478202,0.14820646974478202,3192,0.0560480492562803,0.131857074408661,0.10529797147836754,3864,77.4602968427665,-0.7271665641857965
10,59.360944287543425,0.41058531650208563,0.41058531650208563,3192,0.1186369823027693,0.40671263802464896,0.19773399471118372,3864,72.31894382351595,0.355613423526013
11,129.4501296724416,-0.19633988547948844,-0.19633988547948844,3192,0.10922255635783111,-0.18256453378861015,0.19997524735110403,3864,145.92960623576784,-0.13766082928911882
12,64.00862631319983,0.2926008057857006,0.2926008057857006,3190,0.07941600908435745,0.36547533882658056,0.14116415650561742,3864,86.73548826669372,0.2619268098672851
13,89.93419532510059,-0.00963113869845289,-0.00963113869845289,3191,0.028993565208681345,-0.0033448896030117137,0.05635854277812108,3864,92.51612722378964,0.0702239355464751
14,89.89759068190524,0.04877522520236721,0.04877522520236721,3192,0.07499684153926273,0.05485980032969606,0.13896668177643307,3864,108.43038956349844,0.09059303521240913
15,81.77942375880878,0.05314774521670318,0.05314774521670318,3192,0.06715606492182094,0.07839621977124067,0.12518971841501636,3864,112.71935852598982,0.16402446962124273
16,75.72373434017898,0.28750578501453594,0.28750578501453594,3192,0.041713599212287594,0.25188259400672885,0.07902113092969251,3864,97.76259038955695,0.07743695047749455
17,70.70449252041105,0.2463573868843214,0.2463573868843214,3192,0.06893432466526984,0.2156690821159054,0.12673039857311028,3864,96.92219718535834,-0.56234115314638
18,96.57010755971453,0.10144580500225353,0.10144580500225353,3192,0.03498762294340569,0.10792884891423571,0.06733434804187839,3864,124.11699829222984,0.11168965148813648
19,78.46823889184301,-0.013573410679221798,-0.013573410679221798,3192,0.08688736979274764,-0.01558011489387745,0.16007925171966023,3864,90.24610612996662,-0.024795825639152724
20,97.41427830699057,-0.04375526232177229,-0.04375526232177229,3190,0.0884499586752375,-0.062127852937398975,0.16330084545687393,3864,113.53812258001585,0.04959107560042131
21,72.20252518397072,-0.023345273143513756,-0.023345273143513756,3192,0.05402506473550789,-0.020067843148042108,0.10261538989075546,3864,71.04645668820568,-0.009774556420195646
22,42.919880337371275,0.33171984404674837,0.33171984404674837,3192,0.047763141743345845,0.2991447190879244,0.08943154245399605,3864,63.94102147732701,-0.13305001319428755
23,42.48149468289277,0.4511533951286575,0.4511533951286575,3192,0.12965191528586462,0.4221305473585455,0.21178690769338077,3864,50.39271362855434,-0.17246979726676814
24,51.65316064029704,-0.002830742675497433,-0.002830742675497433,3192,0.04631861952261889,-0.003572165136770833,0.08855031010781092,3864,71.81805279299456,-0.18311783023540462
25,53.76827803026407,0.09964064856762522,0.09964064856762522,3192,0.03138818792674851,0.10216223019674986,0.06065586182108306,3864,62.277769774036805,0.09574789814096929
26,51.40765302274455,0.07162548721711359,0.07162548721711359,3192,0.19196783781641555,0.04440078026821204,0.31970997219612945,3864,98.28347077357982,-0.648717949886783
27,40.15286948755349,0.17054522447350373,0.17054522447350373,3192,0.0822364291375816,0.14823503610157884,0.14999144459050548,3864,64.86775401741427,-0.14907560976711665
28,49.895096071406016,0.05020549598415669,0.05020549598415669,3192,0.08370074507376728,0.07597971960400596,0.15349721595093746,3864,67.77513855476782,0.04564154939235443
29,57.35629996514001,-0.030509390512121426,-0.030509390512121426,3190,0.16871748751056614,-0.012359235080441566,0.2892321952229983,3864,77.11415557556354,-0.44368873257383035
30,59.23810003863914,-0.6006548275902137,-0.6006548275902137,3190,0.08251116454239099,-0.5149336993541107,0.1564986016898531,3864,72.04894022006721,-0.09584939819247396
31,56.682549300855726,-0.12497186826556916,-0.12497186826556916,3186,0.04519611451967327,-0.0784380295222995,0.08675636806358909,3864,56.72029826872021,0.003345212422695587
32,33.70217936946413,0.16844317648947338,0.16844317648947338,3192,0.09291522553797736,0.12310433092245832,0.16802648705635925,3864,50.01411024091402,-0.177084533637911
33,39.05067600594131,0.16586595785054525,0.16586595785054525,3192,0.09664775213026106,0.18311652322982408,0.172845654936651,3864,67.92736826076991,0.06511998269955266
34,56.35666268048906,0.46045289567487624,0.46045289567487624,3192,0.08346671563024864,0.459595860599877,0.1445996659886394,3864,87.45359866797529,0.4284685033449199
35,76.98423739809682,0.1955475766200513,0.1955475766200513,3192,0.07833298090138387,0.20886863795946642,0.1425513958709789,3864,88.11849104964693,0.2020316226955453
36,50.7402061176771,0.2077840678481564,0.2077840678481564,3192,0.08468380039615808,0.21904436140829486,0.15279870218039215,3864,78.61225139588238,0.08498116946550971
37,35.490183985114484,-0.21950874203176118,-0.21950874203176118,3192,0.0025978837669879276,-0.232101863622711,0.005184835321377533,3864,60.3080718000306,-0.6195006603405049
38,91.20977347016364,0.2608917874250203,0.2608917874250203,3188,0.07658440928061425,0.3033980592248642,0.13799738739346995,3864,138.80570380588478,0.08640083111812835
39,105.96239444128032,-0.0853165701489107,-0.0853165701489107,3192,0.07927428896858257,-0.0843642803212501,0.1477472637536559,3864,105.52362641412914,-0.07089781312437626
40,82.29166481085397,0.25393284067133726,0.25393284067133726,3192,0.08061527943150526,0.2744650954583172,0.14510745076970313,3864,76.84830639890392,0.3555026427103084
41,88.36384932166793,0.08816716498115196,0.08816716498115196,3192,0.06453556184589027,0.07781808407340607,0.12062931773093578,3864,96.57396162523294,-0.09041524177818716
42,84.61968467135583,0.23899102669876027,0.23899102669876027,3192,0.09854642244347069,0.24577531680893838,0.17431675101546598,3864,102.71193207847543,0.25719343007819206
43,84.05723427046007,0.1569639784475486,0.1569639784475486,3192,0.026106405130957064,0.14706755653557801,0.050662152085769345,3864,109.68501673418321,0.08459578206761709
45,97.27277224315488,0.25015658046493083,0.25015658046493083,3192,0.06938610362980052,0.25830960723434737,0.12690049997102476,3864,109.59945834745743,0.17178457853496654
46,106.24870824022774,0.1898383276566169,0.1898383276566169,3192,0.06362022179546195,0.18207034664381494,0.11805767870060502,3864,121.65317050050777,0.1008769803108206
47,29.82189177248906,0.08009877032783808,0.08009877032783808,3188,0.00545143475477828,0.10212326026468954,0.010837072511909764,3864,48.64101143388076,-1.703393523785929
48,32.177761601892854,0.371701110086721,0.371701110086721,3192,0.12293677120419666,0.2990691718156808,0.20918451682872402,3864,53.85237607067346,-0.6899132358829374
49,43.24519885433785,0.05212401488575158,0.05212401488575158,3192,0.07747794527116236,0.06368988602850445,0.14311350998020686,3864,62.60535946086536,-1.0085848854365844
50,38.20880443249777,0.5283774724353383,0.5283774724353383,3192,0.10273205845056181,0.4713155502960623,0.172034912256676,3864,54.93463601370671,-0.8759051674744136
51,71.72182993014799,0.004746887190211879,0.004746887190211879,3192,0.04286460052775737,0.011392471812917693,0.08216657647797335,3864,92.51431499699116,-32.62104927926481
52,44.84335597351814,0.35101488040253404,0.35101488040253404,3192,0.07682952231572537,0.35038068998332694,0.13740800192466962,3864,56.885752020210326,0.29387150280807894
53,39.155643753753886,0.44431810020042284,0.44431810020042284,3192,0.136823567217851,0.4071280595582769,0.22233617431683664,3864,57.641347645287155,-0.8078829035320854
54,84.71846262913523,0.3067695956326887,0.3067695956326887,3192,0.05293859124056853,0.32170910831932664,0.09821202535060093,3864,96.458690868371,0.4136701675671772
