id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,outage_SMAPE,outage_R2
0,34.706139870514804,0.3598466644624454,0.3598466644624454,3192,39.03670922540445,-0.03382316551347353
1,31.421107882307954,0.3054345909178726,0.3054345909178726,3192,34.7171286591491,-0.19476482919268934
2,34.81663294599125,-0.10859871969980772,-0.10859871969980772,3192,42.08405462743786,-0.1554136251494309
3,43.110369703205095,0.22117878210054498,0.22117878210054498,3192,51.46134578625811,-1.4030134976359676
4,92.87967128600285,0.05214960701799232,0.05214960701799232,3192,112.3643430241381,0.01762208627925077
5,88.74488979452717,0.005684371613338679,0.005684371613338679,3192,92.64677148167819,-0.06698663062294652
6,96.87981725807381,-0.030302220845836336,-0.030302220845836336,3192,106.75575843898699,-0.2549714429634784
7,102.39898250856068,-0.08247580361027462,-0.08247580361027462,3192,114.49160513685146,-0.5055308905721911
8,130.48754952313192,-3.4187494307838726,-1.0,3183,134.415728681171,-3.872849296490859
9,51.29155737960932,0.027064799164894682,0.027064799164894682,3192,70.43583629904174,-0.5549196323314949
10,67.9473490413601,0.0901064411602861,0.0901064411602861,3192,67.36197552718592,0.17625406020664114
11,131.59322809710144,-0.45369976016292846,-0.45369976016292846,3192,145.1376370018865,-0.2465616198315408
12,66.99184299975398,0.14363693432622082,0.14363693432622082,3190,85.44250082652121,0.14235441757097
13,99.49356614315677,-0.030984440867061425,-0.030984440867061425,3191,98.83516453791587,-0.4955630561407478
14,94.04537491573267,-0.0659623781865124,-0.0659623781865124,3192,103.41717661029347,-0.44951905955184457
15,89.58880747014423,-0.014455803118991861,-0.014455803118991861,3192,110.74596325895084,-0.3475075744556171
16,81.63883562331984,0.08052433439300444,0.08052433439300444,3192,101.9391955565874,-0.2912603767365114
17,74.17506269640344,0.05431204173565263,0.05431204173565263,3192,103.33979984008572,-3.1757791936890802
18,104.04082440395423,-0.0722086076480799,-0.0722086076480799,3192,122.08354118173534,-0.19046768532770897
19,84.67775241029759,-0.00744309108813046,-0.00744309108813046,3192,92.4464153985603,-0.04021718132948893
20,103.30936588556175,-0.11804743657412531,-0.11804743657412531,3190,109.76879253588456,0.010893260878940603
21,91.84051524409573,-0.023331200351617953,-0.023331200351617953,3192,102.48817819148148,-0.009778385916066279
22,47.13653142780166,0.1072181507861727,0.1072181507861727,3192,61.126483377630855,-0.25565036691650134
23,44.51091399969007,0.3506776338288472,0.3506776338288472,3192,44.171843610911374,-0.0869315138508393
24,54.050198877723965,-0.07183292968581223,-0.07183292968581223,3192,72.2545477340163,-0.3437502303659652
25,58.51729116553014,-0.014808220972177377,-0.014808220972177377,3192,64.49063499508352,-0.015475253059971328
26,53.75914196027347,-0.06842819559900026,-0.06842819559900026,3192,99.87200262384428,-0.6472613363626634
27,41.799608944824634,0.06808387068225541,0.06808387068225541,3192,60.995442115730384,-0.14680013070423148
28,52.38950076557535,-0.009961762395269247,-0.009961762395269247,3192,68.20518464280913,-0.021190365824348856
29,60.33232349318028,-0.04090367393344829,-0.04090367393344829,3190,78.16035144080293,-0.35379041921006227
30,82.51685356995898,-9.619825062320976,-1.0,3190,92.93887118663433,-2.6607495356196544
31,57.61383776882797,-0.07803024848405582,-0.07803024848405582,3186,55.805658653739634,-0.037720806762122194
32,34.25285092146046,0.11383433882313887,0.11383433882313887,3192,50.15902007911627,-0.23702735249452833
33,41.9059209091687,0.0742692627950553,0.0742692627950553,3192,66.22008129005282,0.0825802877905204
34,64.176604338444,0.1995241529493016,0.1995241529493016,3192,82.4795670881747,0.1914551260710512
35,87.13022790903415,0.06067355855880385,0.06067355855880385,3192,89.63319571708591,0.09566102410899235
36,58.76357610903432,0.057711880984881114,0.057711880984881114,3192,78.11596080316615,0.044833443375857596
37,40.17719564370033,-0.8150108798039093,-0.8150108798039093,3192,66.18505109321534,-1.070035374899689
38,100.00049662802274,-0.01913053033455303,-0.01913053033455303,3188,142.1003113859934,-1.0633295685352082
39,108.00286038799231,-0.4862815636087501,-0.4862815636087501,3192,102.87968520855988,-0.358500117977798
40,91.5278775709805,-0.15409441671915602,-0.15409441671915602,3192,76.59279133493024,-0.10643955022540386
41,98.20965586314948,-0.30879307540660084,-0.30879307540660084,3192,92.91400875021823,-0.3244546284280396
42,90.14815659647613,-0.04695195450858347,-0.04695195450858347,3192,99.41131969985693,0.019363880807239053
43,92.50631469328387,0.0687312420633448,0.0687312420633448,3192,104.96757538324862,-0.03838921440556464
45,111.42708017335114,-0.12445173510464036,-0.12445173510464036,3192,107.50678519264294,-0.5243930776087182
46,112.12994667639092,-0.4437966396864865,-0.4437966396864865,3192,119.0406997746551,-2.0637165897320138
47,33.84301665272094,0.03263633079506134,0.03263633079506134,3188,55.62459658576581,-3.320663365962602
48,34.06235095654288,0.23626185280638523,0.23626185280638523,3192,47.53255821179975,-0.28899772170553395
49,45.320554087210965,-0.049016613528197306,-0.049016613528197306,3192,66.44568970095189,-1.4626645920036818
50,45.364555399519546,0.14641796087568615,0.14641796087568615,3192,48.16306406621093,-0.6581429195240875
51,74.69109654674398,-0.0018238778640198294,-0.0018238778640198294,3192,87.8638592026069,-35.64217676523304
52,63.20742075313801,0.03317949267920106,0.03317949267920106,3192,53.05715510292926,0.2813112622582258
53,42.318453974761475,0.2959169144415902,0.2959169144415902,3192,51.02439189338368,-0.6992848791946904
54,86.7818436585172,0.026448916618221352,0.026448916618221352,3192,93.92125421390021,-0.41106480634540676
55,41.0797929307059,0.28906280647770266,0.28906280647770266,3192,47.85288736003251,0.03589341196022677
56,52.9754658638246,0.11459205187391397,0.11459205187391397,3192,68.34935491127881,-0.34441659377578127
57,43.33802929926375,0.18807040431386168,0.18807040431386168,3192,54.51701173521714,-0.758412136277415
58,93.09943397827197,-0.07843344749438552,-0.07843344749438552,3192,99.97443011919384,-0.07155802429423441
59,52.61340266003487,0.022345282585980564,0.022345282585980564,3192,49.42746606046528,-0.2196949603701155
60,42.80187475203313,0.07128017206134951,0.07128017206134951,3192,63.87669772325004,-0.11757991041113125
61,34.05710179981703,-0.0051930297496582956,-0.0051930297496582956,3192,48.251695558905325,-0.26585823378449724
62,97.55135504211187,-0.10130991845636705,-0.10130991845636705,3192,97.00597795771002,-0.46170656130685983
63,110.9276062872329,-0.06384287727813964,-0.06384287727813964,3192,124.88078324453502,-0.42076958362618333
